Result: White wins by checkmate

1: c1d2
2: a5b6
3: f1e2
4: c8d7
5: d2e3
6: b6b2
7: e3d2
8: b2b6
9: g1f3
10: b6c6
11: a1b1
12: b8a6
13: e1g1
14: f6d5
15: c3d5
16: c6d6
17: e2a6
18: b7a6
19: d5c3
20: d7f5
21: d4d5
22: g7g6
23: b1b3
24: h7h6
25: d2c1
26: c7c5
27: f3h4
28: h8g8
29: d1e2
30: f8g7
31: c1b2
32: f5d7
33: f1e1
34: e8f8
35: b3a3
36: a8b8
37: b2c1
38: g7c3
39: a3c3
40: g6g5
41: h4f3
42: d7b5
43: e2e3
44: d6d5
45: e3e7
46: f8g7
47: c3c5
48: d5a2
49: c5g5
50: g7h7
51: e7e4
52: g8g6
53: g5g6
54: f7g6
55: e4f4
56: b8b6
57: f4c7
58: h7h8
59: c7c8
60: h8g7
61: c1h6
62: g7h7
63: e1e7
64: a2f7
65: c8f8
66: f7e7
67: f3g5
68: e7g5
69: f8g7
