Result: Draw by threefold repetition

1: f1b5
2: b8d7
3: e1g1
4: a7a6
5: b5a4
6: f8g7
7: b1c3
8: g8f6
9: c1e3
10: d8c7
11: d1e2
12: e7e6
13: e2f3
14: e8g8
15: a4b3
16: b7b5
17: d4b5
18: a6b5
19: c3b5
20: c7b8
21: a2a4
22: c8b7
23: f1e1
24: f6e4
25: a1d1
26: d7c5
27: g1h1
28: h7h6
29: f3e2
30: c5a4
31: f2f3
32: e4c5
33: b3a4
34: c5a4
35: b2b3
36: a4c3
37: b5c3
38: g7c3
39: e3d2
40: c3g7
41: e2b5
42: a8a6
43: e1e2
44: b8c7
45: d2h6
46: g7h6
47: b5b4
48: h6g7
49: h1g1
50: g7f6
51: b4f4
52: f6g7
53: b3b4
54: e6e5
55: f4h4
56: a6a8
57: e2d2
58: c7b6
59: h4f2
60: b6b4
61: d2d3
62: d6d5
63: d3b3
64: b4e7
65: f2b6
66: f8b8
67: b6f2
68: e7d8
69: f3f4
70: e5e4
71: f4f5
72: d8f6
73: f5g6
74: f7g6
75: f2f6
76: g7f6
77: b3b6
78: a8a6
79: b6a6
80: b7a6
81: d1d5
82: e4e3
83: g2g3
84: e3e2
85: g1f2
86: f6c3
87: f2f3
88: e2e1q
89: f3f4
90: b8b4
91: f4g5
92: e1e3
93: g5g6
94: e3e6
95: g6g5
96: e6f6
97: g5h5
98: f6h8
99: h5g5
100: h8g7
101: g5h5
102: g7h8
103: h5g5
104: h8g7
105: g5h5
