Result: Black wins by checkmate

1: f1b5
2: c8d7
3: b5d7
4: d8d7
5: d1d3
6: g8f6
7: b1c3
8: b8c6
9: e1f1
10: a8c8
11: c1d2
12: c6e5
13: d3e2
14: e5c4
15: f1g1
16: c4b2
17: d4b5
18: a7a6
19: a1b1
20: b2c4
21: e2e1
22: a6b5
23: d2c1
24: f8e7
25: b1b5
26: d7c6
27: b5b4
28: f6d7
29: c3b5
30: c8b8
31: b5c7
32: c6c7
33: e1c3
34: b8c8
35: b4c4
36: c7c4
37: c3c4
38: c8c4
39: c2c3
40: f7f5
41: e4f5
42: e6f5
43: h2h4
44: b7b5
45: h1h3
46: c4e4
47: g1f1
48: d7e5
49: h4h5
50: e7h4
51: h5h6
52: g7g6
53: h3e3
54: e5c4
55: e3d3
56: e8d7
57: g2g3
58: h4f6
59: f2f3
60: e4e5
61: c1f4
62: e5e7
63: a2a4
64: h8a8
65: f4d6
66: c4d6
67: a4b5
68: a8a1
69: f1f2
70: a1c1
71: f3f4
72: e7e1
73: c3c4
74: e1d1
75: d3d1
76: c1d1
77: f2e2
78: d1c1
79: b5b6
80: c1c2
81: e2d3
82: c2c1
83: d3e2
84: c1c2
85: e2d3
86: c2c4
87: b6b7
88: c4d4
89: d3e3
90: d4b4
91: b7b8q
92: d6c4
93: e3d3
94: b4b8
95: d3c4
96: b8b1
97: c4d3
98: b1b3
99: d3e2
100: b3b7
101: e2e3
102: b7a7
103: e3f2
104: a7a2
105: f2e3
106: f6h8
107: e3d3
108: a2a3
109: d3c4
110: d7c6
111: c4b4
112: a3e3
113: b4c4
114: e3g3
115: c4b4
116: g3d3
117: b4c4
118: d3c3
119: c4b4
120: h8d4
121: b4a5
122: c3c4
123: a5a6
124: c4a4
