Result: White wins by checkmate

1: d1b3
2: c8e6
3: b3b5
4: b8c6
5: c1e3
6: a7a6
7: b5b6
8: c5d4
9: c3d4
10: g7g6
11: b1c3
12: d5a5
13: b6a5
14: c6a5
15: g1f3
16: a8d8
17: f1e2
18: a5c4
19: e2c4
20: e6c4
21: b2b3
22: c4e6
23: a1c1
24: h7h5
25: e1g1
26: h5h4
27: f1e1
28: h8h5
29: e3f4
30: e6g4
31: c3e4
32: f8g7
33: e4f6
34: g7f6
35: f4c7
36: d8d5
37: h2h3
38: g4d7
39: c7e5
40: e8d8
41: e5f6
42: e7f6
43: c1c4
44: a6a5
45: a2a4
46: b7b6
47: e1c1
48: g6g5
49: c4c7
50: d5d6
51: c7c4
52: h5h6
53: c1c3
54: d6d5
55: c3c1
56: d5d6
57: g1h2
58: h6h5
59: c1c3
60: d8e7
61: c3e3
62: e7f8
63: e3e1
64: h5h8
65: e1c1
66: d7e6
67: c4c3
68: d6d5
69: c3c6
70: f8g7
71: c6b6
72: d5f5
73: c1c3
74: h8e8
75: b6b7
76: e8d8
77: c3e3
78: d8e8
79: h2h1
80: g7h6
81: e3c3
82: f5f4
83: h1h2
84: e8a8
85: h2g1
86: a8e8
87: b7b5
88: f4e4
89: d4d5
90: e6c8
91: b5a5
92: c8b7
93: d5d6
94: e8d8
95: a5b5
96: d8d6
97: b5b7
98: e4e2
99: c3e3
100: e2c2
101: b7f7
102: h6g6
103: f7e7
104: d6d1
105: f3e1
106: f6f5
107: e3e6
108: g6h5
109: e7h7
