Result: Black wins by checkmate

1: a2a3
2: b8c6
3: g2g3
4: c6d4
5: f2f4
6: d4f5
7: f1h3
8: d7b6
9: h3f5
10: e6f5
11: g1e2
12: c8e6
13: b2b3
14: f8e7
15: a3a4
16: a7a5
17: c1e3
18: e8g8
19: h2h3
20: e7b4
21: d1d3
22: d8e7
23: g3g4
24: f5g4
25: h3g4
26: f7f5
27: g4g5
28: e7f7
29: e1c1
30: b4a3
31: c1b1
32: a3b4
33: h1h2
34: b4c3
35: d3c3
36: g7g6
37: e3b6
38: c7b6
39: c3d2
40: b6b5
41: a4b5
42: f7e7
43: e2d4
44: e6d7
45: c2c3
46: a5a4
47: d2g2
48: f8d8
49: d1h1
50: e7f7
51: b3a4
52: d8c8
53: h2h7
54: f7h7
55: h1h7
56: g8h7
57: g2h2
58: h7g7
59: e5e6
60: d7e8
61: h2c2
62: c8c4
63: c2h2
64: c4a4
65: d4b3
66: a4c4
67: h2h1
68: c4e4
69: b3d4
70: e4f4
71: h1d5
72: f4f1
73: b1c2
74: f1f2
75: c2b1
76: g7h8
77: e6e7
78: a8c8
79: d4c2
80: f2e2
81: d5d6
82: h8h7
83: b1b2
84: e8b5
85: d6b4
86: b5d3
87: b2a3
88: c8a8
89: a3b2
90: e2c2
91: b2b1
92: c2h2
93: b1c1
94: a8a1
95: b4b1
96: a1b1
