Result: Black wins by checkmate

1: e2e3
2: e8g8
3: e3e4
4: e7e5
5: d4e5
6: d6e5
7: d1d8
8: f8d8
9: g1e2
10: c8e6
11: c3d5
12: b8c6
13: e2c3
14: c6d4
15: d5c7
16: d4c2
17: e1f2
18: c2a1
19: c3d5
20: a8b8
21: c1g5
22: e6d5
23: c7d5
24: h7h6
25: g5h4
26: g6g5
27: h4g3
28: b7b5
29: d5e7
30: g8f8
31: e7c6
32: a1c2
33: c6b8
34: d8b8
35: f1d3
36: b5c4
37: g3e5
38: f6e4
39: d3e4
40: g7e5
41: e4c2
42: b8b2
43: h1e1
44: b2c2
45: e1e2
46: c2e2
47: f2f1
48: e2a2
49: h2h4
50: c4c3
51: g2g3
52: c3c2
53: f1g2
54: c2c1q
55: g2h3
56: c1c8
57: g3g4
58: a2h2
