Result: White wins by checkmate

1: b1c3
2: b7b5
3: a4b3
4: c8b7
5: f3g5
6: d8e7
7: b3f7
8: e8d8
9: f7b3
10: c6d4
11: g5f7
12: d8e8
13: f7h8
14: b5b4
15: b3d5
16: c7c6
17: d5f7
18: e8d8
19: a2a3
20: b4a3
21: e1g1
22: g7g5
23: c3e2
24: d4b5
25: d2d4
26: d8c7
27: d1d3
28: a3b2
29: c1b2
30: f6g4
31: d3h3
32: h7h5
33: h3h5
34: g4f6
35: h5g5
36: e5d4
37: g5f4
38: e7d6
39: e4e5
40: d6d5
41: e5f6
42: f8d6
43: f7d5
44: d4d3
45: f4g4
46: d3e2
47: g4e2
48: a8h8
49: c2c4
50: d6h2
51: g1h1
52: h2d6
53: h1g1
54: b5c3
55: e2c2
56: d6h2
57: g1h1
58: h2d6
59: h1g1
60: c6d5
61: f6f7
62: d6h2
63: g1h1
64: h2g3
65: h1g1
66: d5c4
67: f2g3
68: b7e4
69: c2c3
70: h8h1
71: g1h1
72: d7d5
73: c3a5
74: c7d7
75: a5b5
76: d7d8
77: f7f8q
78: d8c7
79: b2e5
