Result: White wins by checkmate

1: d4c6
2: d8h4
3: c6d4
4: h4e4
5: c1e3
6: g8h6
7: b1c3
8: e4e7
9: d4b5
10: e8d8
11: c3d5
12: e7e5
13: b5c7
14: a8b8
15: d1b1
16: h6g4
17: f1b5
18: c5e3
19: f2e3
20: g4e3
21: d5e3
22: e5e3
23: b5e2
24: a7a6
25: c7b5
26: a6b5
27: b1d1
28: b7b6
29: d1d2
30: e3e7
31: e1g1
32: h8e8
33: e2d3
34: b5b4
35: d2f4
36: e7c5
37: g1h1
38: b8a8
39: f4h4
40: f7f6
41: h4h7
42: e8e7
43: h7g8
44: d8c7
45: f1e1
46: c8b7
47: g8c4
48: a8e8
49: e1e7
50: e8e7
51: c4f4
52: d7d6
53: a2a3
54: c5d5
55: f4c4
56: d5c4
57: d3c4
58: e7e4
59: c4d3
60: e4d4
61: a1e1
62: c7d8
63: h2h3
64: b4b3
65: h1h2
66: b7d5
67: h2g3
68: b6b5
69: h3h4
70: d5c4
71: d3c4
72: b5c4
73: c2b3
74: d4d2
75: b3c4
76: d2b2
77: h4h5
78: b2c2
79: e1e4
80: f6f5
81: e4f4
82: d8e7
83: f4f5
84: e7e6
85: f5g5
86: c2c4
87: g5g7
88: d6d5
89: h5h6
90: e6f6
91: g7b7
92: f6g5
93: h6h7
94: c4h4
95: a3a4
96: h4h1
97: b7g7
98: g5f5
99: g3f3
100: d5d4
101: a4a5
102: h1h2
103: a5a6
104: d4d3
105: a6a7
106: d3d2
107: g7d7
108: h2h1
109: a7a8q
110: h1f1
111: f3e2
112: f5e6
113: a8d5
114: e6f6
115: h7h8q
116: f6g6
117: h8g7
