Result: White wins by checkmate

1: a2a3
2: b4c5
3: b2b4
4: c5d4
5: e1g1
6: a7a6
7: b5c4
8: e8g8
9: f1e1
10: f8e8
11: f3g5
12: e8e7
13: d1f3
14: d7d6
15: c4f7
16: g8h8
17: f7h5
18: h8g8
19: h5f7
20: e7f7
21: g5f7
22: g8f7
23: h2h3
24: d4b6
25: c3a4
26: b6d4
27: a4c3
28: d4a7
29: c1b2
30: b7b5
31: e1c1
32: c6d4
33: f3d3
34: f7g8
35: a3a4
36: a8b8
37: a4b5
38: h7h6
39: d3c4
40: c8e6
41: c4d3
42: e6c8
43: d3c4
44: c8e6
45: c4f1
46: e6d7
47: a1a6
48: d7b5
49: c3b5
50: d4b5
51: f1c4
52: g8h8
53: c1e1
54: d8d7
55: e1a1
56: b8b7
57: d2d3
58: a7b6
59: a6a8
60: h8h7
61: a1a2
62: b5a7
63: a2a1
64: c7c6
65: c4b3
66: d7e7
67: h3h4
68: f6g4
69: b3g8
70: h7g6
71: d3d4
72: e7f6
73: h4h5
74: g6g5
75: a8f8
76: f6e7
77: f8f5
78: g5h4
79: g8b3
80: b6d4
81: b3h3
