Result: Black wins by checkmate

1: d1b3
2: c5d4
3: b3d5
4: f6d5
5: f1b5
6: c8d7
7: b5d7
8: b8d7
9: g1e2
10: d4d3
11: e2f4
12: d5f4
13: c1f4
14: e7e5
15: f4g3
16: f7f5
17: b1d2
18: g7g6
19: e1c1
20: e8f7
21: d2c4
22: e5e4
23: h1e1
24: a8c8
25: c4d6
26: f8d6
27: g3d6
28: g6g5
29: d6g3
30: d7b6
31: h2h4
32: h7h6
33: h4g5
34: h6g5
35: f2f3
36: b6c4
37: b2b3
38: d3d2
39: d1d2
40: c4d2
41: c1d2
42: f5f4
43: g3f4
44: g5f4
45: e1e4
46: c8d8
47: d2c2
48: f7g7
49: e4e7
50: g7f6
51: e7b7
52: d8g8
53: c2d3
54: a7a5
55: b7a7
56: g8a8
57: a7a8
58: h8a8
59: d3e2
60: a8d8
61: c3c4
62: f6f5
63: e2e1
64: a5a4
65: c4c5
66: d8f8
67: b3b4
68: f5e6
69: c5c6
70: f8c8
71: b4b5
72: e6d6
73: e1d2
74: d6c5
75: d2d3
76: c5d5
77: a2a3
78: c8e8
79: c6c7
80: d5c5
81: d3c3
82: e8c8
83: c3d3
84: c8c7
85: d3e4
86: c5b5
87: e4f4
88: c7c3
89: f4e4
90: c3a3
91: g2g4
92: a3a1
93: g4g5
94: a1g1
95: f3f4
96: a4a3
97: g5g6
98: a3a2
99: f4f5
100: a2a1q
101: e4f3
102: a1d4
103: g6g7
104: g1g7
105: f5f6
106: d4f6
107: f3e4
108: b5c5
109: e4e3
110: f6d4
111: e3e2
112: g7g8
113: e2f3
114: d4d8
115: f3f4
116: d8d4
117: f4f5
118: g8f8
119: f5g6
120: d4f6
121: g6h5
122: f8h8
123: h5g4
124: h8g8
125: g4h5
126: f6g5
