Result: Draw by threefold repetition

1: d2d4
2: e5d4
3: e4e5
4: d7d5
5: e5f6
6: d5c4
7: f6g7
8: h8g8
9: c1g5
10: c5e7
11: d1e2
12: c8e6
13: g5e7
14: d8e7
15: f3d4
16: c6d4
17: c3d4
18: e8c8
19: b1c3
20: d8d4
21: e2e5
22: e7d6
23: e5d6
24: d4d6
25: a1d1
26: g8g7
27: d1d6
28: c7d6
29: e1e2
30: g7g2
31: h2h4
32: g2g4
33: h1d1
34: c8d7
35: c3b5
36: g4e4
37: e2f3
38: d6d5
39: d1g1
40: a7a6
41: b5c3
42: e4h4
43: c3d5
44: e6d5
45: f3g3
46: h4d4
47: f2f3
48: d4d3
49: g3f4
50: d7c6
51: g1g7
52: c6d6
53: g7h7
54: d3f3
55: f4g5
56: f3f2
57: h7h6
58: d5e6
59: h6h8
60: d6c7
61: a2a4
62: f2f1
63: h8h2
64: a6a5
65: g5h6
66: f1g1
67: h2h5
68: b7b6
69: h5b5
70: f7f6
71: h6h7
72: g1g2
73: h7h6
74: c7c6
75: h6h5
76: e6d5
77: h5h6
78: g2g4
79: h6h5
80: g4g2
81: h5h6
82: g2g1
83: h6h5
