Result: Black wins by checkmate

1: f1e2
2: c8e6
3: g1f3
4: f6d5
5: e1g1
6: d5c3
7: b2c3
8: e6a2
9: c1d2
10: a5d5
11: f3e5
12: f7f6
13: e5d3
14: d5f7
15: d3b4
16: a2c4
17: f1e1
18: c7c5
19: d4c5
20: e7e5
21: e2h5
22: g7g6
23: d1g4
24: c4e6
25: g4f3
26: g6h5
27: c3c4
28: e6g4
29: f3e4
30: f7d7
31: b4d5
32: f8g7
33: d5b6
34: a7b6
35: a1a8
36: e8g8
37: d2e3
38: d7c6
39: e4d5
40: g4e6
41: d5f3
42: b6c5
43: f3h5
44: b8a6
45: a8a7
46: c6b6
47: a7a8
48: f8a8
49: e3h6
50: g7h6
51: c2c3
52: h6d2
53: e1e4
54: b6b1
55: h5d1
56: b1d1
57: e4e1
58: d1e1
