Result: Black wins by checkmate

1: g1f3
2: e8g8
3: h2h3
4: e7e5
5: d4e5
6: d6e5
7: f1d3
8: b8c6
9: a2a3
10: c6d4
11: c1g5
12: d8d6
13: a1c1
14: d4f3
15: g2f3
16: f8d8
17: d3f1
18: d6d1
19: c3d1
20: a7a5
21: f1e2
22: a5a4
23: h3h4
24: h7h6
25: g5e3
26: h6h5
27: b2b4
28: a4b3
29: d1c3
30: b3b2
31: c1c2
32: b2b1q
33: c3b1
34: g8h8
35: e1g1
36: c8h3
37: f1c1
38: h3c8
39: g1g2
40: a8a4
41: c2b2
42: a4a8
43: c4c5
44: c7c6
45: b1d2
46: h8g8
47: c1b1
48: g7f8
49: a3a4
50: g8g7
51: b2a2
52: f6d7
53: b1c1
54: f8e7
55: g2g3
56: f7f5
57: g3g2
58: f5f4
59: d2c4
60: f4e3
61: c1d1
62: e3f2
63: a2d2
64: e7c5
65: g2g3
66: c5d4
67: e2f1
68: d8f8
69: f3f4
70: d7c5
71: g3h2
72: f8f4
73: f1e2
74: f4h4
75: h2g2
76: c5e4
77: d2b2
78: c8h3
79: g2h2
80: h3f1
