Result: White wins by checkmate

1: f1b5
2: b8d7
3: e1g1
4: f8g7
5: d1d3
6: a7a6
7: b5a4
8: d8c7
9: c1e3
10: g8f6
11: d3c3
12: c7c3
13: a4d7
14: c8d7
15: b1c3
16: h7h5
17: a1d1
18: f6g4
19: f1e1
20: g7e5
21: d4f3
22: g4e3
23: e1e3
24: e5g7
25: e4e5
26: g7e5
27: f3e5
28: d6e5
29: h2h3
30: f7f6
31: c3d5
32: e8f7
33: d5b6
34: d7e6
35: b6a8
36: h8a8
37: e3c3
38: e6f5
39: g1h2
40: f5e4
41: c3c4
42: e4c6
43: h2g3
44: a8g8
45: f2f3
46: e7e6
47: c4c5
48: g6g5
49: c5c4
50: f6f5
51: c4c3
52: e5e4
53: f3e4
54: c6e4
55: c3c7
56: f7e8
57: c7c8
58: e8f7
59: d1d7
60: f7f6
61: c8g8
62: e4c6
63: g8f8
64: f6e5
65: d7f7
66: e5e4
67: f7g7
68: e4e3
69: g7g5
70: c6d5
71: f8f7
72: d5a2
73: b2b3
74: b7b6
75: f7f6
76: f5f4
77: f6f4
78: e6e5
79: g5e5
80: e3d2
81: e5h5
82: d2c2
83: h5h6
84: c2b3
85: h6b6
86: b3c2
87: f4f2
88: c2d3
89: f2a2
90: a6a5
91: b6d6
92: d3c4
93: a2a5
94: c4b4
95: d6d5
96: b4b3
97: d5c5
98: b3b4
99: a5b5
100: b4a3
101: c5c4
102: a3a2
103: c4a4
