Result: Draw by threefold repetition

1: e2e4
2: e8g8
3: g2g3
4: c8d7
5: f1g2
6: e7e5
7: g1e2
8: e5d4
9: e2d4
10: b8c6
11: c1e3
12: c6e5
13: d1e2
14: f6g4
15: f3g4
16: d7e6
17: d4e6
18: f7e6
19: e1c1
20: d8e7
21: h2h4
22: h7h6
23: c1b1
24: c7c5
25: e3f4
26: g6g5
27: f4e3
28: a7a6
29: h4g5
30: h6g5
31: d1f1
32: f8f1
33: h1f1
34: a8f8
35: a2a4
36: f8f1
37: g2f1
38: g8f7
39: e3c1
40: e7f6
41: e2e1
42: g7h8
43: a4a5
44: f6d8
45: e1d2
46: h8f6
47: d2d1
48: d8c7
49: f1e2
50: e5c6
51: c1d2
52: c6d4
53: c3a2
54: b7b6
55: a5b6
56: c7b6
57: e2d3
58: d4e2
59: b2b3
60: e2d4
61: a2c1
62: e6e5
63: d2c3
64: b6b7
65: c3a5
66: f7e6
67: a5d2
68: f6d8
69: d2e1
70: d8c7
71: b3b4
72: c7a5
73: c1e2
74: a5b4
75: e2d4
76: e5d4
77: b1a2
78: a6a5
79: d1b1
80: b7d7
81: b1d1
82: b4e1
83: d1e1
84: d7a4
85: a2b2
86: a4b4
87: e1b4
88: c5b4
89: d3b1
90: a5a4
91: b2a1
92: a4a3
93: a1a2
94: d4d3
95: b1d3
96: e6e5
97: a2b3
98: e5d4
99: d3b1
100: d4c5
101: b1a2
102: c5d4
103: a2b1
104: d4c5
105: b1a2
106: c5d4
