Result: Black wins by checkmate

1: a2a3
2: b4a5
3: e1g1
4: e8g8
5: d2d4
6: e5d4
7: b5c6
8: a5b6
9: f3d4
10: d7c6
11: c1e3
12: f6g4
13: d4f5
14: b6e3
15: d1g4
16: d8g5
17: h2h3
18: g5g4
19: f5e7
20: g8h8
21: h3g4
22: e3d4
23: f1d1
24: d4c3
25: b2c3
26: c8g4
27: f2f3
28: g4c8
29: a1b1
30: a8b8
31: e7c6
32: b8a8
33: c6e7
34: a8b8
35: e7c6
36: b8a8
37: c6e7
38: h7h6
39: e7c8
40: a8c8
41: b1b7
42: f7f5
43: d1d5
44: f5e4
45: f3f4
46: c8e8
47: b7c7
48: e4e3
49: d5e5
50: e8e5
51: f4e5
52: e3e2
53: c7d7
54: h6h5
55: e5e6
56: e2e1q
57: g1h2
58: f8b8
59: d7f7
60: e1h4
61: h2g1
62: b8b1
63: f7f1
64: b1b8
65: a3a4
66: b8e8
67: a4a5
68: h4e4
69: f1f7
70: e4e1
71: g1h2
72: e1e6
73: f7a7
74: h8h7
75: a5a6
76: e6e5
77: g2g3
78: e5e2
79: h2h3
80: e2g4
81: h3g2
82: e8e2
83: g2f1
84: e2d2
85: a7e7
86: g4g3
87: e7f7
88: g3h3
89: f1e1
90: d2c2
91: f7g7
92: h7g7
93: e1d1
94: h3h2
95: a6a7
96: c2a2
97: a7a8q
98: h2d2
