"Matchup","Game","White","Black","Swapped","OpeningIdx","Result","Termination","TimeSec","ExitCode"
"minimax_trad_d4_book_off","1","MINIMAX_TRAD","MINIMAX_TRAD","False","-1","0-1","checkmate","67,21","0"
"minimax_trad_d4_book_off","2","MINIMAX_TRAD","MINIMAX_TRAD","False","-1","0-1","checkmate","67,02","0"
"minimax_trad_d4_book_off","3","MINIMAX_TRAD","MINIMAX_TRAD","False","-1","0-1","checkmate","66,31","0"
"minimax_trad_d4_book_off","4","MINIMAX_TRAD","MINIMAX_TRAD","False","-1","0-1","checkmate","66,49","0"
"minimax_trad_d4_book_off","5","MINIMAX_TRAD","MINIMAX_TRAD","False","-1","0-1","checkmate","66,22","0"
"minimax_trad_d4_book_off","6","MINIMAX_TRAD","MINIMAX_TRAD","False","-1","0-1","checkmate","546,02","0"
"minimax_trad_d4_book_off","7","MINIMAX_TRAD","MINIMAX_TRAD","False","-1","0-1","checkmate","1517,17","0"
"minimax_trad_d4_book_off","8","MINIMAX_TRAD","MINIMAX_TRAD","False","-1","0-1","checkmate","67,28","0"
"minimax_trad_d4_book_off","9","MINIMAX_TRAD","MINIMAX_TRAD","False","-1","0-1","checkmate","66,13","0"
"minimax_trad_d4_book_off","10","MINIMAX_TRAD","MINIMAX_TRAD","False","-1","0-1","checkmate","66,06","0"
"minimax_trad_d4_book_off","11","MINIMAX_TRAD","MINIMAX_TRAD","False","-1","0-1","checkmate","65,82","0"
"minimax_trad_d4_book_off","12","MINIMAX_TRAD","MINIMAX_TRAD","False","-1","0-1","checkmate","66,23","0"
"minimax_trad_d4_book_off","13","MINIMAX_TRAD","MINIMAX_TRAD","False","-1","0-1","checkmate","66,1","0"
"minimax_trad_d4_book_off","14","MINIMAX_TRAD","MINIMAX_TRAD","False","-1","0-1","checkmate","66,22","0"
"minimax_trad_d4_book_off","15","MINIMAX_TRAD","MINIMAX_TRAD","False","-1","0-1","checkmate","66,24","0"
"minimax_trad_d4_book_off","16","MINIMAX_TRAD","MINIMAX_TRAD","False","-1","0-1","checkmate","66,3","0"
"minimax_trad_d4_book_off","17","MINIMAX_TRAD","MINIMAX_TRAD","False","-1","0-1","checkmate","66,59","0"
"minimax_trad_d4_book_off","18","MINIMAX_TRAD","MINIMAX_TRAD","False","-1","0-1","checkmate","66,42","0"
"minimax_trad_d4_book_off","19","MINIMAX_TRAD","MINIMAX_TRAD","False","-1","0-1","checkmate","66,21","0"
"minimax_trad_d4_book_off","20","MINIMAX_TRAD","MINIMAX_TRAD","False","-1","0-1","checkmate","66,64","0"
"minimax_trad_d4_book_off","21","MINIMAX_TRAD","MINIMAX_TRAD","True","-1","0-1","checkmate","66,42","0"
"minimax_trad_d4_book_off","22","MINIMAX_TRAD","MINIMAX_TRAD","True","-1","0-1","checkmate","66,17","0"
"minimax_trad_d4_book_off","23","MINIMAX_TRAD","MINIMAX_TRAD","True","-1","0-1","checkmate","66,2","0"
"minimax_trad_d4_book_off","24","MINIMAX_TRAD","MINIMAX_TRAD","True","-1","0-1","checkmate","66,44","0"
"minimax_trad_d4_book_off","25","MINIMAX_TRAD","MINIMAX_TRAD","True","-1","0-1","checkmate","65,86","0"
"minimax_trad_d4_book_off","26","MINIMAX_TRAD","MINIMAX_TRAD","True","-1","0-1","checkmate","66,2","0"
"minimax_trad_d4_book_off","27","MINIMAX_TRAD","MINIMAX_TRAD","True","-1","0-1","checkmate","65,91","0"
"minimax_trad_d4_book_off","28","MINIMAX_TRAD","MINIMAX_TRAD","True","-1","0-1","checkmate","65,95","0"
"minimax_trad_d4_book_off","29","MINIMAX_TRAD","MINIMAX_TRAD","True","-1","0-1","checkmate","66,41","0"
"minimax_trad_d4_book_off","30","MINIMAX_TRAD","MINIMAX_TRAD","True","-1","0-1","checkmate","66,45","0"
"minimax_trad_d4_book_off","31","MINIMAX_TRAD","MINIMAX_TRAD","True","-1","0-1","checkmate","66,45","0"
"minimax_trad_d4_book_off","32","MINIMAX_TRAD","MINIMAX_TRAD","True","-1","0-1","checkmate","66,44","0"
"minimax_trad_d4_book_off","33","MINIMAX_TRAD","MINIMAX_TRAD","True","-1","0-1","checkmate","66,3","0"
"minimax_trad_d4_book_off","34","MINIMAX_TRAD","MINIMAX_TRAD","True","-1","0-1","checkmate","66,2","0"
"minimax_trad_d4_book_off","35","MINIMAX_TRAD","MINIMAX_TRAD","True","-1","0-1","checkmate","66,7","0"
"minimax_trad_d4_book_off","36","MINIMAX_TRAD","MINIMAX_TRAD","True","-1","0-1","checkmate","66,38","0"
"minimax_trad_d4_book_off","37","MINIMAX_TRAD","MINIMAX_TRAD","True","-1","0-1","checkmate","66,17","0"
"minimax_trad_d4_book_off","38","MINIMAX_TRAD","MINIMAX_TRAD","True","-1","0-1","checkmate","66,58","0"
"minimax_trad_d4_book_off","39","MINIMAX_TRAD","MINIMAX_TRAD","True","-1","0-1","checkmate","66,61","0"
"minimax_trad_d4_book_off","40","MINIMAX_TRAD","MINIMAX_TRAD","True","-1","0-1","checkmate","66,72","0"
