Result: Draw by threefold repetition

1: d2d4
2: g8f6
3: c2c4
4: g7g6
5: b1c3
6: f8g7
7: e2e4
8: d7d6
9: g1f3
10: e8g8
11: f1e2
12: e7e5
13: e1g1
14: b8c6
15: d4d5
16: c6e7
17: f3d2
18: c7c5
19: a1b1
20: f6e8
21: b2b4
22: b7b6
23: b4c5
24: b6c5
25: d2b3
26: f7f5
27: c1g5
28: h7h6
29: g5d2
30: e8f6
31: d1c2
32: c8d7
33: f2f4
34: e5f4
35: e4e5
36: d6e5
37: b3c5
38: a8c8
39: c5b7
40: f6d5
41: b7d8
42: d5c3
43: d2c3
44: c8d8
45: c2b2
46: d8b8
47: b2a1
48: e7c6
49: b1b8
50: f8b8
51: e2f3
52: b8e8
53: f1e1
54: e5e4
55: c3g7
56: e4f3
57: e1e8
58: d7e8
59: g7h6
60: g8f7
61: g2f3
62: c6a5
63: a1c1
64: a5c4
65: c1c4
66: f7f6
67: c4f1
68: a7a6
69: f1a6
70: f6f7
71: a6f1
72: f7g8
73: f1f2
74: g8h7
75: h6g5
76: h7g7
77: g1f1
78: e8b5
79: f1g2
80: b5f1
81: f2f1
82: g7h8
83: g5f4
84: h8g7
85: f4e5
86: g7h6
87: e5f4
88: h6g7
89: f4e5
90: g7h6
91: e5f4
