Result: Draw by threefold repetition

1: e2e4
2: c7c5
3: g1f3
4: d7d6
5: d2d4
6: c5d4
7: f3d4
8: g8f6
9: b1c3
10: a7a6
11: c1e3
12: e7e5
13: d4f3
14: f8e7
15: f1c4
16: e8g8
17: e1g1
18: b8c6
19: d1e2
20: c6a5
21: c4d5
22: c8e6
23: d5e6
24: f7e6
25: f3g5
26: d8d7
27: f2f4
28: a5c6
29: f4e5
30: c6e5
31: g5f3
32: e5f3
33: f1f3
34: d6d5
35: e4d5
36: f6d5
37: a1d1
38: d7c6
39: c3d5
40: e6d5
41: f3f8
42: a8f8
43: e2d2
44: e7c5
45: e3c5
46: c6c5
47: d2d4
48: c5c2
49: d4d5
50: g8h8
51: d5d2
52: c2c4
53: b2b3
54: c4c5
55: d2d4
56: c5a5
57: d4d2
58: a5b5
59: d2d7
60: b5e2
61: d7d2
62: e2b5
63: d2d7
64: b5c5
65: d7d4
66: c5a5
67: d4d2
