Result: White wins by checkmate

1: d2d4
2: g8f6
3: c2c4
4: g7g6
5: b1c3
6: f8g7
7: e2e4
8: d7d6
9: g1f3
10: e8g8
11: f1e2
12: e7e5
13: c1e3
14: f6g4
15: e3g5
16: f7f6
17: g5h4
18: g6g5
19: h4g3
20: g4h6
21: h2h3
22: b8c6
23: d4d5
24: c6e7
25: d1d2
26: e7g6
27: e1c1
28: c8d7
29: c1b1
30: d8e7
31: d2e3
32: g5g4
33: h3g4
34: h6g4
35: e3d2
36: g6f4
37: e2f1
38: f6f5
39: d2c2
40: f5e4
41: g3h4
42: g4f6
43: c3e4
44: d7f5
45: e4f6
46: e7f6
47: h4f6
48: f5c2
49: b1c2
50: f8f6
51: f3d2
52: f6f7
53: f2f3
54: a7a6
55: a2a3
56: a8f8
57: d1e1
58: g7f6
59: g2g3
60: f4g6
61: f1e2
62: g8g7
63: b2b4
64: a6a5
65: b4b5
66: h7h6
67: c2d3
68: a5a4
69: d2e4
70: f6e7
71: e4c3
72: g7h7
73: h1h2
74: e7f6
75: e1h1
76: f6g7
77: d3e3
78: g6e7
79: g3g4
80: f7f4
81: e2d3
82: e7g6
83: d3e4
84: f4g4
85: f3g4
86: f8f4
87: g4g5
88: f4e4
89: e3e4
90: g7f6
91: g5f6
92: g6h8
93: h2h6
94: h7g8
95: h6h8
96: g8f7
97: e4f5
98: c7c6
99: h1h7
