Result: Black wins by checkmate

1: g1f3
2: b8c6
3: e2e3
4: d7d5
5: d2d4
6: d8d6
7: b1c3
8: a7a6
9: f1e2
10: g8f6
11: e1f1
12: h7h6
13: a2a3
14: f6e4
15: c3e4
16: d5e4
17: f3d2
18: d6d8
19: d4d5
20: c6e5
21: d2c4
22: e5c4
23: e2c4
24: b7b5
25: c4b3
26: e7e5
27: d5d6
28: d8d6
29: d1d6
30: f8d6
31: b3d5
32: a8b8
33: d5e4
34: c8e6
35: e4c6
36: e8f8
37: e3e4
38: e6c4
39: f1g1
40: b8b6
41: c6d5
42: d6c5
43: c1d2
44: c4d5
45: e4d5
46: b6d6
47: a1e1
48: f7f6
49: c2c4
50: b5c4
51: d2e3
52: c5e3
53: f2e3
54: f8e7
55: e3e4
56: d6b6
57: g1f2
58: b6b2
59: f2f3
60: h8b8
61: e1e3
62: f6f5
63: h1c1
64: f5e4
65: e3e4
66: b8f8
67: f3e3
68: b2b3
69: e3e2
70: b3b2
71: e2e3
72: b2b3
73: e3e2
74: c4c3
75: e4g4
76: g7g5
77: g4g3
78: b3b2
79: e2e3
80: c3c2
81: e3d3
82: b2b3
83: d3e4
84: f8f4
85: e4e5
86: b3b1
87: g3c3
88: b1c1
89: c3c7
90: e7d8
91: e5d6
92: f4f6
93: d6e5
94: c1e1
95: e5f6
96: d8c7
97: f6g7
98: c7d6
99: g7h6
100: c2c1q
101: h6h5
102: e1e2
103: h2h3
104: e2g2
105: a3a4
106: c1a3
107: h5g6
108: a3h3
109: a4a5
110: h3d3
111: g6g7
112: d3d5
113: g7h8
114: g2h2
115: h8g7
116: d5e6
117: g7f8
118: e6f6
119: f8e8
120: h2h8
