Result: Draw by threefold repetition

1: e2e4
2: c7c5
3: g1f3
4: e7e6
5: d2d4
6: c5d4
7: f3d4
8: b8c6
9: b1c3
10: d8c7
11: c1e3
12: a7a6
13: d1d2
14: g8f6
15: e1c1
16: f8b4
17: f2f3
18: e8g8
19: g2g4
20: b7b5
21: g4g5
22: f6e8
23: d4c6
24: c7c6
25: h2h4
26: b4c3
27: d2c3
28: c6c3
29: b2c3
30: d7d6
31: c3c4
32: f7f5
33: g5f6
34: f8f6
35: h1h3
36: e6e5
37: h3g3
38: f6f8
39: c4b5
40: a6b5
41: c1b2
42: c8d7
43: f1e2
44: d7e6
45: a2a3
46: e6c4
47: e2c4
48: b5c4
49: d1a1
50: a8a4
51: a1d1
52: f8f7
53: g3h3
54: f7b7
55: b2c3
56: a4a3
57: c3d2
58: a3a2
59: d2c3
60: a2a3
61: c3d2
62: a3a2
63: d2c3
