Result: Black wins by checkmate

1: e2e4
2: c7c5
3: g1f3
4: b8c6
5: d2d4
6: c5d4
7: f3d4
8: g8f6
9: b1c3
10: d7d6
11: c1g5
12: e7e6
13: d1d2
14: a7a6
15: e1c1
16: c8d7
17: f2f4
18: f8e7
19: d4f3
20: b7b5
21: g5f6
22: g7f6
23: f4f5
24: d8b6
25: c1b1
26: e8c8
27: g2g3
28: c8b8
29: f5e6
30: f7e6
31: f1e2
32: b6a5
33: a2a3
34: b5b4
35: c3a2
36: b4b3
37: d2a5
38: b3a2
39: b1a2
40: c6a5
41: e2a6
42: b8a7
43: a6e2
44: d8c8
45: e2d3
46: e6e5
47: d1a1
48: d7e6
49: b2b3
50: d6d5
51: f3h4
52: e7c5
53: a1f1
54: h8f8
55: e4d5
56: e6d5
57: f1d1
58: d5h1
59: d1h1
60: a5c6
61: b3b4
62: c5d4
63: h1d1
64: f8d8
65: d1f1
66: h7h5
67: d3e4
68: c6e7
69: f1f6
70: e7d5
71: f6f7
72: a7b8
73: a2b3
74: c8c3
75: b3a2
76: c3c7
77: f7c7
78: b8c7
79: e4f3
80: d5f6
81: h4f5
82: e5e4
83: f3e2
84: d4b6
85: e2c4
86: d8d2
87: h2h3
88: d2c2
89: a2b3
90: c2f2
91: b3a4
92: e4e3
93: f5e3
94: b6e3
95: c4d3
96: f2g2
97: a4b5
98: c7d6
99: b5c4
100: d6e5
101: g3g4
102: h5g4
103: h3g4
104: g2g4
105: c4b5
106: f6e4
107: b5c4
108: e4f2
109: c4c3
110: e3d4
111: c3c2
112: f2d3
113: c2d3
114: g4g3
115: d3c4
116: g3a3
117: b4b5
118: a3g3
119: c4b4
120: e5d5
121: b4a4
122: d4b6
123: a4b4
124: b6c5
125: b4a4
126: g3a3
