Result: White wins by checkmate

1: e2e4
2: e7e5
3: g1f3
4: b8c6
5: f1b5
6: a7a6
7: b5a4
8: g8f6
9: e1g1
10: f8e7
11: f1e1
12: b7b5
13: a4b3
14: e8g8
15: h2h3
16: c8b7
17: d2d3
18: d7d6
19: a2a3
20: c6a5
21: b3a2
22: c7c5
23: b1d2
24: a5c6
25: d2f1
26: b7c8
27: f1e3
28: c8e6
29: e3d5
30: e6d5
31: e4d5
32: c6d4
33: f3d4
34: c5d4
35: c1d2
36: a8c8
37: e1e2
38: d8c7
39: f2f4
40: f8e8
41: a2b3
42: e7f8
43: a3a4
44: c8b8
45: a4b5
46: b8b5
47: b3a4
48: b5b2
49: a4e8
50: c7c2
51: d1c2
52: b2c2
53: e8c6
54: c2b2
55: f4e5
56: d6e5
57: a1a6
58: b2b1
59: d2e1
60: b1b8
61: e1g3
62: b8b1
63: g1f2
64: b1b3
65: g3e5
66: h7h6
67: e5f6
68: g7f6
69: f2f3
70: b3d3
71: f3e4
72: d3b3
73: e4d4
74: b3b4
75: d4d3
76: b4b3
77: d3c2
78: b3b8
79: c2d3
80: b8b3
81: d3c2
82: b3b8
83: g2g4
84: f6f5
85: g4f5
86: g8g7
87: c6d7
88: b8d8
89: f5f6
90: g7g8
91: e2e7
92: d8b8
93: a6a1
94: g8h7
95: d7f5
96: h7g8
97: a1g1
98: f8g7
99: g1g7
100: g8h8
101: g7h7
102: h8g8
103: h7f7
104: b8a8
105: f7g7
106: g8f8
107: e7f7
108: f8e8
109: f7e7
110: e8f8
111: e7f7
112: f8e8
113: f5d7
114: e8d8
115: f7f8
116: d8c7
117: d7c6
118: c7d6
119: g7d7
120: d6e5
121: d7e7
122: e5f4
123: f8a8
124: f4g3
125: a8g8
126: g3h4
127: e7e4
128: h4h3
129: c6d7
130: h3h2
131: e4h4
