Result: White wins by checkmate

1: e2e4
2: c7c5
3: g1f3
4: b8c6
5: d2d4
6: c5d4
7: f3d4
8: g7g6
9: b1c3
10: f8g7
11: c1e3
12: g8f6
13: f1c4
14: e8g8
15: c4b3
16: d7d6
17: f2f3
18: c8d7
19: d1d2
20: d8a5
21: e1c1
22: f8c8
23: c1b1
24: c6e5
25: e3g5
26: e5c6
27: d4c6
28: d7c6
29: c3e2
30: a5d2
31: d1d2
32: f6e4
33: f3e4
34: h7h6
35: g5e7
36: c6e4
37: h1f1
38: c8c7
39: b3f7
40: g8h7
41: e7d6
42: c7c6
43: e2c3
44: c6c3
45: f1e1
46: e4f5
47: b2c3
48: g7c3
49: f7d5
50: a8d8
51: e1e7
52: h7h8
53: d6e5
54: c3e5
55: e7e5
56: d8d7
57: e5e8
58: h8g7
59: d2d4
60: d7c7
61: d5b3
62: b7b6
63: g2g4
64: f5c2
65: b3c2
66: g7f7
67: e8d8
68: f7f6
69: d4d6
70: f6e5
71: d6g6
72: h6h5
73: d8e8
74: e5d4
75: e8e4
76: d4c3
77: g6d6
78: c7c4
79: g4h5
80: c4b4
81: e4b4
82: c3b4
83: h5h6
84: b4c5
85: d6d8
86: b6b5
87: h6h7
88: a7a5
89: h7h8q
90: b5b4
91: h8d4
92: c5c6
93: d8d6
94: c6b7
95: d4b6
96: b7a8
97: d6d8
