Result: Black wins by checkmate

1: e2e4
2: c7c5
3: g1f3
4: b8c6
5: f1b5
6: g7g6
7: b5c6
8: b7c6
9: e1g1
10: f8g7
11: f1e1
12: g8h6
13: c2c3
14: e8g8
15: d2d4
16: c5d4
17: c3d4
18: f7f6
19: b1c3
20: h6f7
21: b2b3
22: d8a5
23: d1c2
24: f7g5
25: c1g5
26: f6g5
27: e4e5
28: g5g4
29: f3d2
30: a5b4
31: d2c4
32: a8b8
33: c2d3
34: d7d5
35: a2a3
36: c8f5
37: d3g3
38: b4b3
39: c4d2
40: b3b6
41: a1c1
42: g7h6
43: c3d5
44: c6d5
45: e1d1
46: b6b2
47: g3c3
48: f5e4
49: h2h3
50: g4h3
51: g2h3
52: e4f5
53: h3h4
54: h6f4
55: a3a4
56: f5d7
57: c1c2
58: b2c3
59: c2c3
60: d7a4
61: d1a1
62: b8b4
63: d2f3
64: f8b8
65: c3c7
66: b4b1
67: a1b1
68: b8b1
69: g1g2
70: a7a5
71: f3g5
72: f4g5
73: h4g5
74: g8f7
75: g2g3
76: b1b4
77: c7a7
78: b4d4
79: a7a5
80: d4d3
81: g3h2
82: d3d4
83: a5a6
84: a4d7
85: h2g3
86: d4g4
87: g3f3
88: d7c8
89: a6a5
90: d5d4
91: a5a8
92: c8b7
93: f3g4
94: b7a8
95: g4f4
96: f7e6
97: f4g4
98: d4d3
99: g4f4
100: d3d2
101: f4e3
102: d2d1q
103: f2f4
104: d1f3
105: e3d4
106: f3f4
107: d4d3
108: a8e4
109: d3c3
110: f4g5
111: c3d4
112: g5e5
113: d4e3
114: h7h5
115: e3e2
116: e4d5
117: e2d3
118: e6f5
119: d3d2
120: e5e4
121: d2c3
122: e4e3
123: c3b4
124: e3d4
125: b4a5
126: d4c5
127: a5a6
128: c5b4
129: a6a7
130: b4b7
