Result: Draw by threefold repetition

1: e2e4
2: e7e5
3: g1f3
4: b8c6
5: f1b5
6: a7a6
7: b5a4
8: g8f6
9: e1g1
10: f8e7
11: f1e1
12: b7b5
13: a4b3
14: e8g8
15: a2a4
16: b5b4
17: d2d4
18: d7d6
19: d4e5
20: d6e5
21: b1d2
22: e7c5
23: a4a5
24: d8e7
25: b3d5
26: c5f2
27: g1f2
28: e7c5
29: f2f1
30: f6d5
31: e4d5
32: c6d4
33: f3d4
34: e5d4
35: d2b3
36: c5b5
37: d1d3
38: b5d3
39: c2d3
40: c8f5
41: c1d2
42: f8d8
43: e1e5
44: f5d3
45: f1f2
46: f7f6
47: e5h5
48: d3g6
49: h5h4
50: d8d5
51: a1c1
52: g6f7
53: f2g1
54: g7g5
55: h4d4
56: d5d4
57: b3d4
58: b4b3
59: d2e3
60: c7c5
61: d4f5
62: f7e6
63: f5e7
64: g8f7
65: e3c5
66: a8d8
67: c5b4
68: d8d7
69: e7c6
70: f7g6
71: c6e7
72: g6f7
73: e7c6
74: f7g6
75: c6b8
76: g6f7
