Result: Draw by threefold repetition

1: d2d4
2: d7d5
3: c2c4
4: c7c6
5: g1f3
6: g8f6
7: b1c3
8: e7e6
9: e2e3
10: b8d7
11: f1d3
12: d5c4
13: d3c4
14: b7b5
15: c4d3
16: a7a6
17: e3e4
18: c6c5
19: d4d5
20: c5c4
21: d3c2
22: e6e5
23: e1g1
24: f8d6
25: c3e2
26: d7c5
27: e2g3
28: e8g8
29: c1g5
30: d8b6
31: g5f6
32: g7f6
33: f1e1
34: c5a4
35: c2a4
36: b5a4
37: d1c2
38: a4a3
39: a1b1
40: b6c5
41: b2b4
42: c4b3
43: c2c5
44: d6c5
45: b1b3
46: c5a7
47: e1c1
48: a8b8
49: b3b8
50: a7b8
51: h2h3
52: c8d7
53: g1f1
54: d7b5
55: f1g1
56: b8d6
57: g3f5
58: f8d8
59: f5d6
60: d8d6
61: c1c8
62: g8g7
63: f3d2
64: b5e2
65: d2c4
66: e2c4
67: c8c4
68: f6f5
69: f2f3
70: d6b6
71: c4c3
72: b6b1
73: g1h2
74: f5e4
75: f3e4
76: b1b4
77: c3g3
78: g7f6
79: g3a3
80: b4e4
81: a3a6
82: f6e7
83: a6a7
84: e7f6
85: d5d6
86: e4d4
87: a7d7
88: f6e6
89: d7e7
90: e6f6
91: e7d7
92: f6e6
93: d7e7
94: e6f6
