"Matchup","Game","White","Black","Swapped","OpeningIdx","Result","Termination","TimeSec","ExitCode"
"minimax_nn_vs_mcts_trad","1","MINIMAX_NN","MCTS_TRAD","False","-1","1-0","checkmate","3228,38","0"
"minimax_nn_vs_mcts_trad","2","MINIMAX_NN","MCTS_TRAD","False","-1","1/2-1/2","draw_3fold_claim","4368,75","0"
"minimax_nn_vs_mcts_trad","3","MINIMAX_NN","MCTS_TRAD","False","-1","1-0","checkmate","2891,91","0"
"minimax_nn_vs_mcts_trad","4","MINIMAX_NN","MCTS_TRAD","False","-1","1/2-1/2","draw_3fold_claim","3476,49","0"
"minimax_nn_vs_mcts_trad","5","MINIMAX_NN","MCTS_TRAD","False","-1","1-0","checkmate","5380,03","0"
"minimax_nn_vs_mcts_trad","6","MCTS_TRAD","MINIMAX_NN","True","-1","1-0","checkmate","6266,44","0"
"minimax_nn_vs_mcts_trad","7","MCTS_TRAD","MINIMAX_NN","True","-1","1/2-1/2","draw_3fold_claim","4040,93","0"
"minimax_nn_vs_mcts_trad","8","MCTS_TRAD","MINIMAX_NN","True","-1","1/2-1/2","draw_3fold_claim","4419,73","0"
"minimax_nn_vs_mcts_trad","9","MCTS_TRAD","MINIMAX_NN","True","-1","0-1","checkmate","4513,52","0"
"minimax_nn_vs_mcts_trad","10","MCTS_TRAD","MINIMAX_NN","True","-1","0-1","checkmate","3135,59","0"
