file,label,result,total_moves,termination,total_time_white,total_time_black,avg_time_white,avg_time_black
metrics_mcts_trad_vs_mcts_nn_g10_swap.jsonl,mcts_trad_vs_mcts_nn,1/2-1/2,105,draw_3fold_claim,2557.5622,2403.2497,48.2559,46.2163
metrics_mcts_trad_vs_mcts_nn_g1_orig.jsonl,mcts_trad_vs_mcts_nn,1/2-1/2,105,stalemate,2281.9562,2381.1946,43.0558,45.7922
metrics_mcts_trad_vs_mcts_nn_g2_orig.jsonl,mcts_trad_vs_mcts_nn,1/2-1/2,104,stalemate,2462.0541,2409.3668,47.3472,46.334
metrics_mcts_trad_vs_mcts_nn_g3_orig.jsonl,mcts_trad_vs_mcts_nn,1-0,69,checkmate,1322.5834,1363.7444,37.7881,40.1101
metrics_mcts_trad_vs_mcts_nn_g4_orig.jsonl,mcts_trad_vs_mcts_nn,1/2-1/2,100,draw_3fold_claim,2161.4783,2389.5373,43.2296,47.7907
metrics_mcts_trad_vs_mcts_nn_g5_orig.jsonl,mcts_trad_vs_mcts_nn,0-1,122,checkmate,2593.7056,2880.134,42.5198,47.2153
metrics_mcts_trad_vs_mcts_nn_g6_swap.jsonl,mcts_trad_vs_mcts_nn,1/2-1/2,127,draw_3fold_claim,3213.0307,2886.2202,50.2036,45.813
metrics_mcts_trad_vs_mcts_nn_g7_swap.jsonl,mcts_trad_vs_mcts_nn,1/2-1/2,81,draw_3fold_claim,1759.0708,1501.6239,42.9042,37.5406
metrics_mcts_trad_vs_mcts_nn_g8_swap.jsonl,mcts_trad_vs_mcts_nn,1/2-1/2,151,draw_3fold_claim,3690.9509,3602.0567,48.5651,48.0274
metrics_mcts_trad_vs_mcts_nn_g9_swap.jsonl,mcts_trad_vs_mcts_nn,1/2-1/2,134,draw_3fold_claim,3499.7305,3365.85,52.2348,50.2366
metrics_minimax_nn_vs_mcts_nn_g10_swap.jsonl,minimax_nn_vs_mcts_nn,0-1,110,checkmate,2656.9556,1515.5386,48.3083,27.5552
metrics_minimax_nn_vs_mcts_nn_g1_orig.jsonl,minimax_nn_vs_mcts_nn,1/2-1/2,119,draw_3fold_claim,2015.7385,3155.773,33.5956,53.4877
