label,side,eval_mean,eval_std,eval_median,time_s_mean,time_s_std,time_s_median,phase_mean,phase_std,phase_median,iterations_mean,iterations_std,iterations_median,nodes_created_mean,nodes_created_std,nodes_created_median,max_depth_mean,max_depth_std,max_depth_median,eval_calls_mean,eval_calls_std,eval_calls_median,eval_cache_hits_mean,eval_cache_hits_std,eval_cache_hits_median,skipped_terminals_mean,skipped_terminals_std,skipped_terminals_median,reused_visits_mean,reused_visits_std,reused_visits_median,root_children_count_mean,root_children_count_std,root_children_count_median,best_child_visits_mean,best_child_visits_std,best_child_visits_median,root_visit_entropy_mean,root_visit_entropy_std,root_visit_entropy_median,convergence_point_mean,convergence_point_std,convergence_point_median,avg_backprop_depth_mean,avg_backprop_depth_std,avg_backprop_depth_median,c_puct_mean,c_puct_std,c_puct_median,throughput_iter_per_s_mean,throughput_iter_per_s_std,throughput_iter_per_s_median,throughput_eval_per_s_mean,throughput_eval_per_s_std,throughput_eval_per_s_median,eval_cache_hit_rate_mean,eval_cache_hit_rate_std,eval_cache_hit_rate_median,nodes_searched_mean,nodes_searched_std,nodes_searched_median,depth_completed_mean,depth_completed_std,depth_completed_median,tt_lookups_mean,tt_lookups_std,tt_lookups_median,tt_hits_mean,tt_hits_std,tt_hits_median,tt_cutoffs_mean,tt_cutoffs_std,tt_cutoffs_median,nmp_attempts_mean,nmp_attempts_std,nmp_attempts_median,nmp_cutoffs_mean,nmp_cutoffs_std,nmp_cutoffs_median,rfp_cutoffs_mean,rfp_cutoffs_std,rfp_cutoffs_median,futility_prunes_mean,futility_prunes_std,futility_prunes_median,lmp_prunes_mean,lmp_prunes_std,lmp_prunes_median,see_prunes_mean,see_prunes_std,see_prunes_median,check_extensions_mean,check_extensions_std,check_extensions_median,aspiration_researches_mean,aspiration_researches_std,aspiration_researches_median,qs_nodes_mean,qs_nodes_std,qs_nodes_median,qs_max_depth_mean,qs_max_depth_std,qs_max_depth_median,see_calls_mean,see_calls_std,see_calls_median,tt_size_mean,tt_size_std,tt_size_median,tt_hit_rate_mean,tt_hit_rate_std,tt_hit_rate_median,tt_cutoff_rate_mean,tt_cutoff_rate_std,tt_cutoff_rate_median,nmp_success_rate_mean,nmp_success_rate_std,nmp_success_rate_median,ebf_mean_mean,ebf_mean_std,ebf_mean_median
mcts_trad_vs_mcts_nn,BLACK,0.5684824368130681,0.2828572985436566,0.5782278612516432,61.42187024390243,7.871851887390261,60.1027,0.3010747275557862,0.3386115206467173,0.1953191489361702,3211288.343902439,10329372.404660923,29504.0,50517.16829268292,90570.38830700479,3008.0,12.819512195121952,8.620020465039472,11.0,50465.64634146341,90485.40667172242,3008.0,27525.41219512195,68456.10225819681,681.5,3160771.1756097563,10342951.450703662,0.0,24906.607317073172,105321.14996925081,141.0,25.26341463414634,13.084598835962595,28.0,53352.78048780488,139126.25798105076,2110.0,1.5906426829268292,0.9136906738012149,1.6213,0.20495414634146342,0.3067455727485871,0.00045,7.116634146341464,4.41334599517858,6.02,2.0,0.0,2.0,53520.34,172155.49487974876,488.95,840.3414634146342,1505.3105919956788,54.0,0.20870439024390242,0.2506647554770721,0.10305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mcts_trad_vs_mcts_nn,WHITE,0.5899930499304867,0.29454999681725286,0.6811351828759754,61.25205107913669,8.057761882519829,60.2125,0.31031787336088573,0.3419640007853816,0.14893617021276595,2558028.5419664267,8794601.305494972,20608.0,29116.51798561151,51599.98852769222,1920.0,11.786570743405276,6.709638015457239,10.0,29087.56354916067,51567.03619199343,1920.0,9481.992805755395,29003.09468372506,367.0,2528912.0239808154,8802200.583757082,0.0,11539.386091127099,44736.12744672815,126.0,26.215827338129497,14.634372041431746,29.0,28511.395683453236,63689.20038806756,1386.0,1.5378865707434055,0.8965899206866614,1.5122,0.23677434052757793,0.3274183719303314,0.0046,6.562757793764988,3.4097185510603536,5.85,2.0,0.0,2.0,42672.43213429256,146565.53651633457,360.6,522.578896882494,1000.8873705106973,31.8,0.1916326139088729,0.2154522038757782,0.1159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
minimax_nn_vs_mcts_nn,BLACK,-25402.786611359552,157530.46754192698,0.6273730383743804,50.37925750577367,26.104911470452844,60.8073,0.24961918333251437,0.3152056825015204,0.02127659574468085,1406522.3333333333,5483801.238117201,1024.0,960.0854700854701,498.4106167389536,1024.0,6.760683760683761,1.8880676710501572,7.0,959.0299145299145,497.76781904456993,1022.5,93.7948717948718,121.2439840345729,56.5,1405562.2478632478,5484027.696733033,0.0,118.50854700854701,215.55802902033815,29.0,21.978632478632477,12.50663225982015,21.0,476.71367521367523,448.0014456993041,334.5,1.8866876068376068,0.8398194014780612,2.0263,0.32532179487179486,0.35376503306807655,0.16475,4.5402564102564105,1.2002288490928656,4.5649999999999995,2.0,0.0,2.0,23440.848717948717,91396.2974644763,16.200000000000003,14.996153846153845,8.121736462688437,14.8,0.09504316239316239,0.10886340565307301,0.0622,1563.643216080402,2065.9794136725795,1079.0,4.0,0.0,4.0,1563.1658291457286,2063.4010312578966,1079.0,113.5678391959799,416.187584176997,51.0,76.22110552763819,404.80605327048664,24.0,23.522613065326635,16.071124780900146,21.0,8.814070351758794,10.219836278071245,6.0,158.78391959798995,124.60364856240848,135.0,169.14572864321607,232.15691286554298,99.0,2896.110552763819,3553.940512942576,1735.0,163.00502512562815,260.07917398803266,72.0,245.35175879396985,590.8897903397037,119.0,0.9698492462311558,1.1187544830391236,0.0,1217.0753768844222,2119.7885732543555,708.0,4.160804020100502,1.9679942506239192,4.0,777.8140703517588,1036.1104230196286,346.0,10145.281407035176,8264.133125400966,7915.0,0.06443165829145728,0.0874049518554432,0.0433,0.5475457286432162,0.2696235716199114,0.5455,0.32914271356783914,0.273227135937852,0.2857,5.20788944723618,4.763289179327471,3.98
minimax_nn_vs_mcts_nn,WHITE,13986.133013362802,117568.79562462457,0.5576422232930197,53.0430337995338,31.21708444406443,60.6695,0.24539999008084112,0.31169250738084053,0.02127659574468085,189726.75634517765,1338219.0641704015,1280.0,1393.502538071066,773.3309125132831,1280.0,7.619289340101523,2.0608680315357892,8.0,1392.6345177664975,772.5978099537314,1280.0,173.55329949238578,248.25557406195998,76.0,188333.2538071066,1338313.378132279,0.0,153.37055837563452,393.4879477787542,28.0,26.0253807106599,13.243187138831649,25.0,641.2994923857868,661.8271451449853,434.0,2.0221741116751266,0.8980231082487934,2.1824,0.33795888324873097,0.35026313998101294,0.1973,4.966142131979695,0.9950691392764274,4.91,2.0,0.0,2.0,3161.5604060913706,22303.492804783218,20.4,22.68071065989848,14.16044842130311,20.0,0.09340101522842639,0.0938390659857956,0.0614,1520.9741379310344,1778.6959081100379,1167.0,4.0,0.0,4.0,1520.2112068965516,1778.7880068688216,1166.0,100.62931034482759,330.60897582304136,45.0,59.9698275862069,101.88616831286097,24.0,23.163793103448278,17.389325464075263,22.0,10.431034482758621,10.288247519400514,8.0,146.06896551724137,112.30969274572655,123.5,126.38362068965517,138.9689438313626,83.5,2589.655172413793,3486.666332522433,1452.0,167.5043103448276,253.03455264019848,57.0,214.85775862068965,423.5821795079275,110.0,0.7155172413793104,1.051126252155204,0.0,1298.7025862068965,2487.2855808114923,826.0,3.9008620689655173,2.0772107376058737,4.0,896.7758620689655,1830.4686532880726,266.5,8848.991379310344,5019.430063705194,8318.5,0.0681198275862069,0.1047945883734036,0.0411,0.6290314655172414,0.2986004943723325,0.69615,0.4164323275862069,0.2782855049831672,0.43095,7.093275862068966,11.970328307320667,3.875
minimax_nn_vs_mcts_trad,BLACK,-6864.122690549486,208638.81830562372,0.700991255877861,46.50206819221968,26.329657446659127,60.0008,0.2542153951020011,0.2986428290832922,0.13595744680851066,1022471.198019802,2196125.257672611,136064.0,95595.02970297029,83457.44181925325,77696.0,18.56930693069307,7.239172633166554,19.0,95395.08910891089,83301.24322922382,77597.0,39434.80693069307,66075.5418695946,15867.5,926876.1683168317,2228242.7528771157,0.0,28670.688118811882,60319.121959845565,922.0,24.237623762376238,14.436788630689088,29.0,90222.81188118811,95422.77045307144,60850.5,0.9193732673267327,0.7246648027855612,0.7797499999999999,0.12270841584158415,0.2552497902084507,0.0,9.557722772277229,3.780115263500504,9.15,2.0,0.0,2.0,17118.764356435644,36571.3541346422,2286.6,1659.0415841584158,1426.8999498629435,1337.4,0.3006935643564356,0.22062246722161719,0.2434,1932.731914893617,2038.0832394853512,1440.0,4.0,0.0,4.0,1932.0382978723405,2037.2780049534667,1440.0,191.2127659574468,377.4424695037005,72.0,126.48510638297873,309.82345881474674,31.0,26.47659574468085,16.32111281145545,24.0,10.285106382978723,11.029466723581107,8.0,187.04255319148936,122.00811894079206,180.0,200.38297872340425,223.34641687580356,126.0,2858.468085106383,2583.6137999204675,2163.0,164.74893617021277,198.15812328992857,89.0,366.331914893617,566.870808291736,191.0,1.0808510638297872,1.1006288602338357,1.0,1406.068085106383,1910.1695531654602,972.0,4.5702127659574465,2.003833387568806,4.0,771.6297872340425,802.3869486402707,507.0,10368.289361702127,7834.131417152199,9642.0,0.07902638297872341,0.09270196515553948,0.0515,0.5570374468085106,0.2618269816793787,0.5577,0.331731914893617,0.27284824192650725,0.3261,7.270212765957447,16.137881946377625,4.14
minimax_nn_vs_mcts_trad,WHITE,40816.13515762244,198087.85364677003,0.6917454391332774,48.48216281179138,24.266227612721984,60.0013,0.25608288705553145,0.2996116257631568,0.08702127659574468,1540067.8510638298,2925333.4632942853,93440.0,72773.8340425532,68295.8429631335,54784.0,17.106382978723403,5.804632848188865,17.0,72726.88510638298,68282.74004223013,54634.0,29695.297872340427,49375.35966689943,11577.0,1467294.0170212765,2948774.002035222,0.0,16077.83829787234,35793.03048784296,924.0,24.370212765957447,14.616287526784918,26.0,59628.9914893617,56789.51271254344,42095.0,1.1472591489361703,0.8174900126623519,0.9786,0.11983234042553191,0.23694610763628543,0.0,8.523148936170212,3.2575063018792534,8.46,2.0,0.0,2.0,25695.675319148937,48740.73708447519,1604.2,1239.5612765957449,1139.8847060412465,985.6,0.2854063829787234,0.22512459741394952,0.2351,1615.990291262136,1553.3902309662494,1273.5,4.0,0.0,4.0,1615.7378640776699,1553.3018990158184,1273.5,140.01941747572815,305.5883563285118,46.5,82.7135922330097,228.31373474429125,23.0,23.57281553398058,16.809464199320733,22.0,8.679611650485437,9.547533040818562,5.5,165.20873786407768,106.62681729836885,161.0,190.80582524271844,221.91000409427366,130.5,2752.126213592233,2620.324128822613,2094.5,136.06796116504853,186.95760636642171,65.5,274.31553398058253,440.35336415030827,135.5,0.8980582524271845,1.023764510129091,1.0,1151.621359223301,1238.25132100902,825.5,4.519417475728155,1.878533847208441,4.0,594.1504854368932,612.1552104114687,410.5,7674.4514563106795,5877.10815025784,6420.0,0.0641514563106796,0.06702752381737169,0.0449,0.5736907766990291,0.269656062352205,0.5714,0.3044315533980582,0.24361543169615088,0.3101,5.964174757281553,6.91170192224707,4.08
minimax_trad_vs_mcts_nn,BLACK,-7108.203751460043,84114.21645015631,0.6759768498489875,34.36656255924171,30.42508008438837,60.0004,0.2936467681758596,0.3289783634574437,0.1519148936170213,1325505.4594594594,3842863.4178898144,1152.0,1857.1801801801803,2832.275724102961,1024.0,6.918918918918919,2.129878526203439,7.0,1855.4954954954956,2831.982133267623,1024.0,758.9459459459459,2324.0927070777725,63.0,1323648.2792792793,3843291.588649369,0.0,152.35135135135135,376.2512193548864,39.0,23.527027027027028,12.318792956281014,23.5,709.0405405405405,1216.8110213576485,329.5,2.050022972972973,0.8535011814077497,2.20955,0.2915563063063063,0.3460957613811868,0.11635,4.809234234234235,1.1886403689874057,4.655,2.0,0.0,2.0,22092.586936936936,64046.73452434558,18.3,31.8,52.27716596610767,16.35,0.1628238738738739,0.21125181627609219,0.06775,7502.155,6199.16449314262,5848.0,5.0,0.0,5.0,7501.895,6199.258117712564,5848.0,642.725,571.4772969063573,483.5,351.575,311.65859489811817,272.0,172.28,119.64831883902515,175.0,70.215,66.88352415969199,62.5,684.34,648.7181828837693,518.5,1657.35,1423.0216267686365,1307.5,15019.545,16644.168627313502,9130.0,810.41,1068.6659329656798,344.0,1581.805,1523.948404861002,1092.5,1.44,1.193112562979578,1.0,7679.165,8377.82891112581,5530.5,6.69,2.183515214846769,8.0,6057.755,7693.175847991232,3301.5,64312.085,40333.943458735055,61932.5,0.1357935,0.16434275375356996,0.09154999999999999,0.599778,0.21367311227796715,0.6204000000000001,0.3501305,0.23145721685860146,0.36375,10.385,21.37697448637096,4.915
minimax_trad_vs_mcts_nn,WHITE,16470.078961035662,144756.14675424475,0.7700924636272958,31.313224705882355,30.475389061587364,8.435,0.2907574468085106,0.327101695601076,0.18936170212765954,566142.25,2328742.8564850497,1152.0,3226.16,10616.327908732314,1152.0,7.835,2.2899770686350487,8.0,3224.05,10615.472809173956,1152.0,2030.48,10142.56895785898,52.0,562916.09,2328198.0328985886,0.0,317.42,1205.494328681148,43.0,25.42,13.822405524088838,29.0,1613.315,4912.000789347222,508.5,1.7741235,0.9544114709480056,1.7748,0.32307400000000003,0.36417255797756026,0.11305,5.10585,1.4388731903086336,4.99,2.0,0.0,2.0,9434.729,38812.20858247449,18.55,52.8495,176.9866849028891,17.9,0.16359449999999998,0.23866617972909865,0.0505,6413.182222222223,4772.906586516344,5374.0,5.0,0.0,5.0,6409.742222222222,4769.799749207473,5374.0,678.8222222222222,949.2913731363574,439.0,447.3377777777778,705.7152220850418,240.0,142.88,106.48133974685756,131.0,60.05777777777778,55.25017165814029,49.0,432.8177777777778,466.25654691348046,302.0,1367.111111111111,1255.9312143894576,1031.0,12780.648888888889,18090.32037509264,4544.0,794.28,1459.165370168851,133.0,1021.7955555555556,1079.1692998129306,687.0,1.2622222222222221,1.0680608448276567,1.0,6979.28,8313.63981641873,4351.0,5.608888888888889,2.4924727952217727,6.0,6130.386666666666,9821.098101827223,1572.0,57124.61777777778,32715.25847048673,52876.0,0.13566044444444444,0.1670045155232599,0.0808,0.6182884444444444,0.2081231659073578,0.6143,0.3577635555555556,0.23167922521886997,0.3733,14.999244444444445,34.07814056193104,4.76
minimax_trad_vs_mcts_trad,BLACK,-9433.168040541836,96821.48652161245,0.7590429941044985,28.492581446540882,28.511607620886327,6.75515,0.3485815602836879,0.35828298530667463,0.2182978723404255,1689277.2689655172,9107002.900636394,98816.0,96629.92413793104,97373.24174686192,57216.0,18.03448275862069,6.200821846407235,19.0,96601.52413793103,97373.9745945213,57216.0,41977.81379310345,64666.61263421134,9703.0,1592647.3448275863,9121981.338964377,0.0,47893.5724137931,124613.9967220301,1479.0,22.282758620689656,14.661790594885598,20.0,117284.24137931035,186439.92371547356,54364.0,0.8507048275862069,0.6741748356871196,0.6634,0.13478206896551723,0.2327962069746859,0.0,9.310275862068966,3.6938058032685666,9.39,2.0,0.0,2.0,28167.702068965515,151780.14288459148,1685.9,1623.315172413793,1616.7970019769125,984.8,0.2695951724137931,0.21862394505527652,0.1911,6573.768786127168,5704.616823012052,5169.0,5.0,0.0,5.0,6573.618497109826,5704.552607052775,5169.0,634.7398843930636,1272.724575364677,270.0,416.11560693641616,1056.2596956699938,160.0,153.04624277456648,95.38080440619738,149.0,65.3699421965318,49.25481464480719,58.0,530.5606936416185,407.75674329413806,429.0,1530.4624277456646,1979.1149081852343,1044.0,12172.034682080925,13453.60373088294,8328.0,857.693641618497,1104.0793775258828,407.0,1177.086705202312,1380.6473618514385,694.0,1.1502890173410405,1.2897008972453359,1.0,7627.468208092486,7447.061845732033,5201.0,6.780346820809249,1.916351273800655,8.0,7756.757225433526,11042.76452310792,3880.0,37211.277456647396,21960.497260631375,35195.0,0.11257976878612716,0.17203509983922005,0.0658,0.6263156069364162,0.2138387360739514,0.6111,0.3982190751445087,0.19574860222632057,0.417,18.24884393063584,62.087790600721085,4.48
minimax_trad_vs_mcts_trad,WHITE,12422.371258088044,110933.14862504632,0.630335851494936,33.32850248447205,28.797597411764876,60.0007,0.3544026694859257,0.358483024010681,0.2182978723404255,819964.5862068966,1966616.4405436448,75072.0,83608.52873563218,90619.41120697689,52092.0,18.620689655172413,6.203190265002599,18.0,83540.79310344828,90603.56215631698,52058.5,43486.24137931035,78997.46613342795,8775.0,736356.0574712644,1982490.9979219125,0.0,31704.994252873563,64079.69504020019,3516.5,27.275862068965516,11.894225203146997,30.0,95121.85057471265,115147.36859909333,49343.5,0.7862770114942528,0.613481608978769,0.5932,0.09182758620689654,0.1947151986845511,0.0,9.801264367816092,3.8304948606782596,9.4,2.0,0.0,2.0,13683.017816091955,32770.3074579422,1267.15,1409.4959770114942,1514.8287071312845,890.1,0.2931522988505747,0.27632936172392925,0.1738,5246.668918918919,4438.387657526455,4051.0,5.0,0.0,5.0,5246.25,4438.8037609508365,4051.0,381.1216216216216,552.9851691975604,259.5,217.07432432432432,231.94745156749624,161.0,149.96621621621622,87.1484319481869,141.0,70.08783783783784,51.179280599088074,60.0,554.6081081081081,522.3064056953637,368.0,1053.1081081081081,905.4275205867406,800.5,10055.027027027027,12760.919914884451,5157.0,772.7702702702703,1002.6156546488115,404.0,768.0135135135135,1043.2746717104126,365.5,1.1891891891891893,1.1684710129830571,1.0,5990.222972972973,7092.563317005155,3100.0,6.04054054054054,2.309042792455979,7.0,6478.5878378378375,9262.761326234735,2449.0,27219.993243243243,15564.246176438175,28278.5,0.10451148648648649,0.15037668780269772,0.0681,0.6301452702702702,0.21385899046008502,0.6245,0.47686013513513514,0.2052932926791064,0.44695,6.836013513513514,7.147130030528725,4.395
