file,label,game_result,move_number,side,move,eval,time_s,phase,from_book,iterations,nodes_created,max_depth,eval_calls,eval_cache_hits,skipped_terminals,reused_visits,root_children_count,best_child_visits,root_visit_entropy,convergence_point,avg_backprop_depth,c_puct,throughput_iter_per_s,throughput_eval_per_s,eval_cache_hit_rate,nodes_searched,depth_completed,tt_lookups,tt_hits,tt_cutoffs,nmp_attempts,nmp_cutoffs,rfp_cutoffs,futility_prunes,lmp_prunes,see_prunes,check_extensions,aspiration_researches,qs_nodes,qs_max_depth,see_calls,tt_size,tt_hit_rate,tt_cutoff_rate,nmp_success_rate,ebf_mean
metrics_mcts_trad_vs_mcts_nn_g10_swap.jsonl,mcts_trad_vs_mcts_nn,1/2-1/2,1,WHITE,d2d4,,0.001,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
metrics_mcts_trad_vs_mcts_nn_g10_swap.jsonl,mcts_trad_vs_mcts_nn,1/2-1/2,1,BLACK,d7d5,,0.0001,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
metrics_mcts_trad_vs_mcts_nn_g10_swap.jsonl,mcts_trad_vs_mcts_nn,1/2-1/2,2,WHITE,c2c4,,0.0001,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
metrics_mcts_trad_vs_mcts_nn_g10_swap.jsonl,mcts_trad_vs_mcts_nn,1/2-1/2,2,BLACK,e7e6,,0.0001,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
metrics_mcts_trad_vs_mcts_nn_g10_swap.jsonl,mcts_trad_vs_mcts_nn,1/2-1/2,3,WHITE,b1c3,,0.0001,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
metrics_mcts_trad_vs_mcts_nn_g10_swap.jsonl,mcts_trad_vs_mcts_nn,1/2-1/2,3,BLACK,g8f6,,0.0001,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
metrics_mcts_trad_vs_mcts_nn_g10_swap.jsonl,mcts_trad_vs_mcts_nn,1/2-1/2,4,WHITE,c4d5,,0.0001,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
metrics_mcts_trad_vs_mcts_nn_g10_swap.jsonl,mcts_trad_vs_mcts_nn,1/2-1/2,4,BLACK,e6d5,,0.0001,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
metrics_mcts_trad_vs_mcts_nn_g10_swap.jsonl,mcts_trad_vs_mcts_nn,1/2-1/2,5,WHITE,c1g5,,0.0001,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
metrics_mcts_trad_vs_mcts_nn_g10_swap.jsonl,mcts_trad_vs_mcts_nn,1/2-1/2,5,BLACK,f8e7,,0.0001,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
metrics_mcts_trad_vs_mcts_nn_g10_swap.jsonl,mcts_trad_vs_mcts_nn,1/2-1/2,6,WHITE,e2e3,,0.0001,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
metrics_mcts_trad_vs_mcts_nn_g10_swap.jsonl,mcts_trad_vs_mcts_nn,1/2-1/2,6,BLACK,e8g8,,0.0001,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
metrics_mcts_trad_vs_mcts_nn_g10_swap.jsonl,mcts_trad_vs_mcts_nn,1/2-1/2,7,WHITE,f1d3,,0.0001,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
metrics_mcts_trad_vs_mcts_nn_g10_swap.jsonl,mcts_trad_vs_mcts_nn,1/2-1/2,7,BLACK,b8d7,,0.0001,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
metrics_mcts_trad_vs_mcts_nn_g10_swap.jsonl,mcts_trad_vs_mcts_nn,1/2-1/2,8,WHITE,g1e2,,0.0001,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
metrics_mcts_trad_vs_mcts_nn_g10_swap.jsonl,mcts_trad_vs_mcts_nn,1/2-1/2,8,BLACK,f8e8,,0.0001,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
metrics_mcts_trad_vs_mcts_nn_g10_swap.jsonl,mcts_trad_vs_mcts_nn,1/2-1/2,9,WHITE,e1g1,,0.0001,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
metrics_mcts_trad_vs_mcts_nn_g10_swap.jsonl,mcts_trad_vs_mcts_nn,1/2-1/2,9,BLACK,d7f8,,0.0001,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
metrics_mcts_trad_vs_mcts_nn_g10_swap.jsonl,mcts_trad_vs_mcts_nn,1/2-1/2,10,WHITE,d1c2,,0.0001,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
metrics_mcts_trad_vs_mcts_nn_g10_swap.jsonl,mcts_trad_vs_mcts_nn,1/2-1/2,10,BLACK,c7c6,,0.0001,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
metrics_mcts_trad_vs_mcts_nn_g10_swap.jsonl,mcts_trad_vs_mcts_nn,1/2-1/2,11,WHITE,f2f3,,0.0001,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
metrics_mcts_trad_vs_mcts_nn_g10_swap.jsonl,mcts_trad_vs_mcts_nn,1/2-1/2,11,BLACK,c8e6,,0.0001,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
metrics_mcts_trad_vs_mcts_nn_g10_swap.jsonl,mcts_trad_vs_mcts_nn,1/2-1/2,12,WHITE,a1d1,,0.0001,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
metrics_mcts_trad_vs_mcts_nn_g10_swap.jsonl,mcts_trad_vs_mcts_nn,1/2-1/2,12,BLACK,a8c8,,0.0,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
metrics_mcts_trad_vs_mcts_nn_g10_swap.jsonl,mcts_trad_vs_mcts_nn,1/2-1/2,13,WHITE,e3e4,,0.0001,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
metrics_mcts_trad_vs_mcts_nn_g10_swap.jsonl,mcts_trad_vs_mcts_nn,1/2-1/2,13,BLACK,c8a8,0.41207058452056133,60.1402,1.0,False,22272.0,22272.0,12.0,22272.0,655.0,0.0,0.0,32.0,5811.0,2.3802,0.7854,6.39,2.0,370.3,370.3,0.0294,,,,,,,,,,,,,,,,,,,,,
metrics_mcts_trad_vs_mcts_nn_g10_swap.jsonl,mcts_trad_vs_mcts_nn,1/2-1/2,14,WHITE,e4e5,0.8067784833868512,71.763,0.8936170212765957,False,640.0,640.0,6.0,640.0,6.0,0.0,0.0,42.0,466.0,1.3739,0.1547,4.53,2.0,8.9,8.9,0.0094,,,,,,,,,,,,,,,,,,,,,
metrics_mcts_trad_vs_mcts_nn_g10_swap.jsonl,mcts_trad_vs_mcts_nn,1/2-1/2,14,BLACK,f6d7,0.3323427061365526,60.0326,1.0,False,31232.0,31232.0,14.0,31232.0,1449.0,0.0,1840.0,33.0,27703.0,0.8151,0.0,8.24,2.0,520.3,520.3,0.0464,,,,,,,,,,,,,,,,,,,,,
metrics_mcts_trad_vs_mcts_nn_g10_swap.jsonl,mcts_trad_vs_mcts_nn,1/2-1/2,15,WHITE,g5f4,0.5614679733483896,65.6489,0.8936170212765957,False,640.0,640.0,6.0,640.0,14.0,0.0,135.0,46.0,220.0,2.0312,0.9531,4.26,2.0,9.7,9.7,0.0219,,,,,,,,,,,,,,,,,,,,,
metrics_mcts_trad_vs_mcts_nn_g10_swap.jsonl,mcts_trad_vs_mcts_nn,1/2-1/2,15,BLACK,f8g6,0.41160715924813296,60.1774,1.0,False,28928.0,28928.0,11.0,28928.0,1185.0,0.0,165.0,35.0,21825.0,1.1607,0.3573,6.76,2.0,480.7,480.7,0.041,,,,,,,,,,,,,,,,,,,,,
metrics_mcts_trad_vs_mcts_nn_g10_swap.jsonl,mcts_trad_vs_mcts_nn,1/2-1/2,16,WHITE,f4g3,0.8322826421450089,60.9408,0.8936170212765957,False,768.0,768.0,5.0,768.0,8.0,0.0,1.0,41.0,101.0,2.9268,0.0273,3.65,2.0,12.6,12.6,0.0104,,,,,,,,,,,,,,,,,,,,,
metrics_mcts_trad_vs_mcts_nn_g10_swap.jsonl,mcts_trad_vs_mcts_nn,1/2-1/2,16,BLACK,d8b6,0.39903132727102764,60.0851,1.0,False,28800.0,28800.0,10.0,28800.0,1651.0,0.0,122.0,41.0,17267.0,1.4204,0.0718,6.12,2.0,479.3,479.3,0.0573,,,,,,,,,,,,,,,,,,,,,
metrics_mcts_trad_vs_mcts_nn_g10_swap.jsonl,mcts_trad_vs_mcts_nn,1/2-1/2,17,WHITE,f3f4,0.9204469534879449,61.7955,0.8936170212765957,False,1280.0,1280.0,5.0,1280.0,0.0,0.0,1.0,38.0,92.0,3.1671,0.3609,3.37,2.0,20.7,20.7,0.0,,,,,,,,,,,,,,,,,,,,,
