Result: Draw by stalemate

1: e2e4
2: c7c5
3: g1f3
4: b8c6
5: d2d4
6: c5d4
7: f3d4
8: g8f6
9: b1c3
10: e7e5
11: d4b5
12: d7d6
13: c1g5
14: a7a6
15: b5a3
16: b7b5
17: c3d5
18: f8e7
19: g5f6
20: e7f6
21: c2c3
22: f6g5
23: a3c2
24: e8g8
25: a2a4
26: b5a4
27: a1a4
28: a6a5
29: f1b5
30: c6e7
31: h2h4
32: g5h6
33: e1f1
34: e7d5
35: e4d5
36: d8b6
37: b5c6
38: b6b2
39: c2e3
40: a8b8
41: d1e1
42: b2b1
43: f1e2
44: c8a6
45: e2f3
46: b1b6
47: c3c4
48: f7f5
49: e1c3
50: b6b2
51: c3b2
52: b8b2
53: e3d1
54: b2b8
55: h4h5
56: g8f7
57: a4a5
58: a6c4
59: a5a1
60: c4d3
61: a1a2
62: b8b4
63: d1b2
64: d3c4
65: b2c4
66: b4c4
67: h1b1
68: c4h4
69: a2a7
70: f7g8
71: b1b7
72: h4h1
73: c6d7
74: h1h5
75: d7e6
76: g8h8
77: b7f7
78: e5e4
79: f3g3
80: f5f4
81: g3g4
82: h5g5
83: g4f4
84: f8f7
85: a7f7
86: g7g6
87: f4e4
88: g5g2
89: e4f3
90: g2g5
91: f7d7
92: h6f8
93: d7b7
94: g5d5
95: e6d5
96: h7h6
97: f3g4
98: h6h5
99: g4g5
100: f8h6
101: g5g6
102: h6f8
103: g6h5
104: f8e7
105: b7e7
