Result: White wins by checkmate

1: e2e4
2: c7c5
3: g1f3
4: d7d6
5: d2d4
6: c5d4
7: f3d4
8: g8f6
9: b1c3
10: b8c6
11: f1c4
12: d8b6
13: d4b3
14: e7e6
15: c1f4
16: c6e5
17: c4e2
18: c8d7
19: d1d2
20: a8c8
21: f4e3
22: b6c6
23: b3d4
24: c6c3
25: b2c3
26: f6e4
27: d2c1
28: e4c3
29: f2f4
30: c3e2
31: d4e2
32: c8c2
33: c1c2
34: e5c6
35: a1b1
36: b7b6
37: c2c1
38: f7f5
39: e2c3
40: h7h5
41: e1e2
42: c6d4
43: e3d4
44: d7b5
45: c3b5
46: e8d8
47: d4b6
48: a7b6
49: c1f1
50: d8e8
51: b5d6
52: f8d6
53: e2e3
54: d6f4
55: e3f4
56: g7g5
57: f4g5
58: h8g8
59: g5h5
60: g8g2
61: f1g2
62: e8d7
63: b1b6
64: d7c7
65: g2b7
66: c7d8
67: b6e6
68: f5f4
69: h1d1
