Result: Draw by threefold repetition

1: d2d4
2: d7d5
3: c2c4
4: c7c6
5: g1f3
6: g8f6
7: b1c3
8: e7e6
9: c1g5
10: h7h6
11: g5f6
12: d8f6
13: e2e3
14: b8d7
15: f1d3
16: d5c4
17: d3c4
18: g7g6
19: e1g1
20: f8g7
21: e3e4
22: e8g8
23: e4e5
24: f6e7
25: d1e2
26: b7b5
27: c4d3
28: a8b8
29: a2a3
30: a7a5
31: f1c1
32: c8b7
33: h2h4
34: c6c5
35: d3e4
36: c5d4
37: e4b7
38: d4c3
39: b7c6
40: d7e5
41: f3e5
42: e7c7
43: f2f4
44: g7e5
45: f4e5
46: c7c6
47: c1c3
48: c6b6
49: e2f2
50: b6f2
51: g1f2
52: g8g7
53: f2g3
54: b5b4
55: a3b4
56: a5b4
57: c3c1
58: f8d8
59: c1d1
60: d8d1
61: a1d1
62: b8b5
63: g3f4
64: g6g5
65: h4g5
66: h6g5
67: f4e4
68: f7f5
69: e5f6
70: g7f6
71: d1a1
72: b5e5
73: e4d3
74: f6f5
75: a1f1
76: f5g4
77: f1f7
78: g4g3
79: f7b7
80: g3g2
81: b7b4
82: g2f3
83: b4b7
84: g5g4
85: d3d4
86: e5g5
87: b7h7
88: e6e5
89: d4d3
90: e5e4
91: d3d4
92: g5g8
93: h7f7
94: f3g3
95: f7b7
96: g3f3
97: b7f7
98: f3g3
99: f7b7
100: g3f3
