Result: Draw by threefold repetition

1: d2d4
2: g8f6
3: c2c4
4: g7g6
5: b1c3
6: d7d5
7: g1f3
8: f8g7
9: d1b3
10: d5c4
11: b3c4
12: e8g8
13: e2e4
14: b8c6
15: f1e2
16: e7e5
17: d4d5
18: c6d4
19: f3d4
20: e5d4
21: c4d4
22: c7c6
23: d4c4
24: c6d5
25: e4d5
26: c8f5
27: e1g1
28: a8c8
29: c4b3
30: f6e4
31: c3e4
32: f5e4
33: e2f3
34: e4f3
35: g2f3
36: d8c7
37: g1g2
38: f8e8
39: f1d1
40: c7c2
41: d5d6
42: e8e2
43: c1e3
44: g7b2
45: b3c2
46: e2c2
47: a1b1
48: c8d8
49: d6d7
50: b2f6
51: b1b7
52: c2a2
53: b7a7
54: a2a7
55: e3a7
56: f6c3
57: g2g3
58: c3a5
59: d1d5
60: a5c7
61: g3h3
62: d8a8
63: a7e3
64: c7d8
65: d5c5
66: d8f6
67: h3g3
68: g8f8
69: f3f4
70: a8d8
71: c5c7
72: f8e7
73: e3c5
74: e7e6
75: c7c6
76: e6f5
77: c6c7
78: f5e6
79: c7c6
80: e6f5
81: c6c7
