Result: Draw by threefold repetition

1: d2d4
2: g8f6
3: c2c4
4: e7e6
5: g1f3
6: b7b6
7: g2g3
8: c8a6
9: d1c2
10: f8b4
11: c1d2
12: b4e7
13: e2e4
14: d7d5
15: c4d5
16: a6f1
17: e1f1
18: e6d5
19: e4e5
20: f6e4
21: b1c3
22: e4d2
23: f3d2
24: d8d7
25: f2f4
26: c7c5
27: f1g2
28: b8c6
29: d2f3
30: c5d4
31: c3e2
32: a8c8
33: c2b1
34: f7f6
35: h1f1
36: e8g8
37: e2d4
38: c6d4
39: f3d4
40: e7c5
41: b1d3
42: f6e5
43: f4e5
44: f8f1
45: a1f1
46: c5d4
47: e5e6
48: d7c6
49: d3d4
50: c6e6
51: f1d1
52: c8c2
53: g2g1
54: h7h6
55: d4d5
56: e6d5
57: d1d5
58: c2b2
59: a2a4
60: b2a2
61: d5d4
62: a2a1
63: g1g2
64: a1a2
65: g2g1
66: g8f8
67: h2h4
68: a2b2
69: a4a5
70: b6a5
71: d4a4
72: b2b5
73: a4c4
74: b5b1
75: g1g2
76: b1b6
77: c4c8
78: f8f7
79: c8c7
80: f7g6
81: c7a7
82: b6b5
83: g3g4
84: b5b2
85: g2g3
86: b2b8
87: a7a6
88: g6f7
89: a6a7
90: f7f8
91: a7a5
92: b8b3
93: g3g2
94: f8f7
95: a5a7
96: f7f6
97: a7a6
98: f6e5
99: a6a5
100: e5f4
101: a5a4
102: f4e3
103: h4h5
104: b3b2
105: g2g3
106: b2b7
107: a4a8
108: b7f7
109: a8e8
110: e3d4
111: g3h4
112: f7f1
113: e8e7
114: f1f8
115: e7g7
116: d4e5
117: g7e7
118: e5f4
119: e7e6
120: f8h8
121: h4h3
122: h8h7
123: h3h4
124: h7h8
125: h4h3
126: f4g5
127: h3g3
128: h8g8
129: e6c6
130: g8g7
131: c6b6
132: g7g8
133: b6c6
134: g8g7
135: c6b6
136: g7g8
