Result: White wins by checkmate

1: d2d4
2: d7d5
3: c2c4
4: c7c6
5: g1f3
6: g8f6
7: e2e3
8: c8f5
9: b1c3
10: e7e6
11: f3h4
12: f5g6
13: d1b3
14: d8b6
15: h4g6
16: h7g6
17: c1d2
18: b8d7
19: f1d3
20: f8e7
21: h2h3
22: b6a6
23: e1e2
24: a6b6
25: h3h4
26: b6c7
27: g2g3
28: c7c8
29: e2f3
30: e8g8
31: a1c1
32: f8e8
33: a2a4
34: a7a5
35: h1d1
36: e8d8
37: f3g2
38: d7f8
39: b3c2
40: d8e8
41: e3e4
42: d5e4
43: c3e4
44: f6e4
45: d3e4
46: c6c5
47: d4d5
48: e6d5
49: c4d5
50: e7h4
51: e4d3
52: h4e7
53: d3b5
54: e8d8
55: d2e3
56: f8d7
57: d5d6
58: e7f8
59: e3f4
60: b7b6
61: b5c4
62: f8d6
63: c4f7
64: g8f7
65: c2c4
66: f7e7
67: f4d6
68: e7f6
69: c4f4
70: f6e6
71: f4c4
72: e6f5
73: c4f7
74: f5g5
75: f7f4
76: g5h5
77: f4h4
