Result: White wins by checkmate

1: d2d4
2: g8f6
3: c2c4
4: g7g6
5: b1c3
6: f8g7
7: e2e4
8: d7d6
9: g1f3
10: e8g8
11: f1e2
12: e7e5
13: e1g1
14: b8c6
15: d4d5
16: c6e7
17: f3d2
18: a7a5
19: a2a3
20: f6d7
21: a1b1
22: f7f5
23: b2b4
24: g8h8
25: d1c2
26: d7f6
27: f2f3
28: a5b4
29: a3b4
30: c7c6
31: g1h1
32: f5e4
33: f3e4
34: f6g4
35: d2f3
36: c6d5
37: c3d5
38: e7d5
39: c1g5
40: d5e7
41: h2h3
42: h7h6
43: g5e7
44: d8e7
45: h3g4
46: c8g4
47: f3h2
48: g4e2
49: c2e2
50: f8g8
51: e2d3
52: g8c8
53: b1d1
54: e7c7
55: d3d6
56: c7d6
57: d1d6
58: g7f8
59: d6g6
60: c8c4
61: b4b5
62: c4e4
63: g6b6
64: a8d8
65: b6b7
66: f8c5
67: g2g3
68: e4e2
69: h2g4
70: d8a8
71: b5b6
72: a8a2
73: b7b8
74: h8h7
75: f1f7
76: h7g6
77: f7f1
78: h6h5
79: b6b7
80: h5g4
81: b8g8
82: g6h7
83: g8h8
84: h7h8
85: b7b8q
86: h8g7
87: b8b7
88: c5e7
89: b7e7
90: g7g6
91: f1f6
92: g6g5
93: e7g7
94: g5h5
95: g7h6
