Result: Draw by threefold repetition

1: d2d4
2: g8f6
3: c2c4
4: e7e6
5: b1c3
6: f8b4
7: e2e3
8: e8g8
9: f1d3
10: c7c5
11: g1f3
12: d7d5
13: e1g1
14: d5c4
15: d3c4
16: b8d7
17: d1e2
18: c5d4
19: e3d4
20: b4c3
21: b2c3
22: d8c7
23: c1a3
24: f8e8
25: a1c1
26: c7a5
27: a3d6
28: a7a6
29: f3d2
30: b7b5
31: d2b3
32: a5d8
33: c4d3
34: d8b6
35: d6b4
36: e6e5
37: e2b2
38: e5e4
39: d3e2
40: f6d5
41: f1e1
42: b6g6
43: b3a5
44: d7b6
45: c3c4
46: d5f4
47: g2g3
48: b5c4
49: a5c4
50: c8g4
51: c4e5
52: e8e5
53: d4e5
54: f4e2
55: e1e2
56: g4e2
57: b2e2
58: h7h5
59: c1d1
60: g6g4
61: e2g4
62: h5g4
63: b4c5
64: b6c4
65: e5e6
66: f7e6
67: d1d4
68: c4b2
69: d4e4
70: a8c8
71: c5d4
72: c8c4
73: e4g4
74: e6e5
75: g4g7
76: g8g7
77: d4b2
78: c4a4
79: b2e5
80: g7g6
81: a2a3
82: a4a3
83: f2f4
84: a3d3
85: g1f1
86: a6a5
87: f1e2
88: d3d5
89: g3g4
90: a5a4
91: e2e3
92: d5e5
93: f4e5
94: a4a3
95: e5e6
96: a3a2
97: e3e4
98: a2a1q
99: e6e7
100: a1e1
101: e4f3
102: e1e7
103: h2h3
104: e7a3
105: f3g2
106: a3a2
107: g2g3
108: a2a3
109: g3g2
110: a3a2
111: g2g3
112: a2a3
