Result: White wins by checkmate

1: e2e4
2: e7e5
3: g1f3
4: b8c6
5: f1b5
6: a7a6
7: b5a4
8: g8f6
9: e1g1
10: f8e7
11: f1e1
12: b7b5
13: a4b3
14: e8g8
15: c2c3
16: d7d5
17: e4d5
18: f6d5
19: f3e5
20: c6e5
21: e1e5
22: c7c6
23: e5e1
24: e7d6
25: d2d3
26: d8h4
27: g2g3
28: h4h3
29: e1e4
30: h3d7
31: d1f3
32: a6a5
33: a2a4
34: b5b4
35: b1d2
36: b4c3
37: b2c3
38: d5c3
39: e4e1
40: d6b4
41: c1a3
42: c8b7
43: a3b4
44: a5b4
45: b3c4
46: c6c5
47: f3h5
48: a8a4
49: h5c5
50: a4a1
51: e1a1
52: d7c6
53: c5c6
54: b7c6
55: a1a6
56: c6b5
57: c4b5
58: c3b5
59: a6b6
60: b5c7
61: b6b4
62: f8a8
63: g1g2
64: c7e8
65: d2e4
66: f7f5
67: e4c5
68: g7g6
69: g2f3
70: g6g5
71: h2h3
72: g5g4
73: h3g4
74: f5g4
75: f3g4
76: e8f6
77: g4f5
78: f6d5
79: b4b7
80: a8f8
81: f5e5
82: f8f2
83: e5d5
84: f2f5
85: d5c4
86: f5c5
87: c4c5
88: h7h5
89: d3d4
90: h5h4
91: g3h4
92: g8f8
93: h4h5
94: f8g8
95: d4d5
96: g8f8
97: d5d6
98: f8e8
99: h5h6
100: e8d8
101: h6h7
102: d8c8
103: b7c7
104: c8d8
105: h7h8q
