Result: Draw by threefold repetition

1: e2e4
2: c7c5
3: g1f3
4: b8c6
5: d2d4
6: c5d4
7: f3d4
8: g8f6
9: b1c3
10: d7d6
11: c1g5
12: e7e6
13: d1d2
14: a7a6
15: e1c1
16: c8d7
17: f2f4
18: f8e7
19: d4f3
20: b7b5
21: g5f6
22: g7f6
23: c1b1
24: d8b6
25: f4f5
26: e8c8
27: g2g3
28: c8b8
29: f5e6
30: f7e6
31: f1h3
32: b5b4
33: c3a4
34: b6a5
35: b2b3
36: b8b7
37: a4b2
38: a5h5
39: d2g2
40: h5h6
41: f3d4
42: c6d4
43: d1d4
44: b7a7
45: d4b4
46: d6d5
47: b4d4
48: e7c5
49: d4d3
50: d5e4
51: d3c3
52: c5b6
53: b2c4
54: b6d4
55: g2e4
56: d4c3
57: h3g2
58: d8b8
59: e4d3
60: d7b5
61: d3c3
62: h8d8
63: h2h4
64: b8c8
65: c3f3
66: d8d5
67: f3f2
68: d5c5
69: c4d6
70: c8c7
71: d6b7
72: h6h5
73: g3g4
74: h5e5
75: h1e1
76: e5e1
77: f2e1
78: c5c2
79: g2f3
80: c2c3
81: e1e6
82: c3f3
83: b7d6
84: b5d3
85: b1b2
86: d3g6
87: h4h5
88: g6d3
89: e6e1
90: f6f5
91: e1g1
92: a7a8
93: g4f5
94: c7c2
95: b2a3
96: c2f2
97: g1g7
98: d3e4
99: d6e4
100: f3f5
101: h5h6
102: f5a5
103: a3b4
104: a5b5
105: b4a3
106: b5a5
107: a3b4
108: a5b5
109: b4a3
