Result: White wins by checkmate

1: d2d4
2: d7d5
3: c2c4
4: c7c6
5: b1c3
6: g8f6
7: e2e3
8: e7e6
9: g1f3
10: b8d7
11: f1d3
12: d5c4
13: d3c4
14: b7b5
15: c4d3
16: a7a6
17: e3e4
18: c6c5
19: e4e5
20: c5d4
21: c3b5
22: a6b5
23: e5f6
24: g7f6
25: e1g1
26: d8b6
27: d1e2
28: c8b7
29: d3b5
30: f8d6
31: f1d1
32: d6c5
33: b2b4
34: c5b4
35: a1b1
36: a8a2
37: e2a2
38: b6b5
39: d1d4
40: b7f3
41: d4b4
42: b5b4
43: b1b4
44: f3g2
45: a2c2
46: g2h3
47: b4b8
48: e8e7
49: c1a3
50: d7c5
51: c2c5
52: e7d7
53: c5d6
