Result: Draw by threefold repetition

1: d2d4
2: g8f6
3: c2c4
4: e7e6
5: b1c3
6: f8b4
7: e2e3
8: e8g8
9: g1e2
10: d7d5
11: a2a3
12: b4e7
13: c4d5
14: e6d5
15: g2g3
16: f8e8
17: f1g2
18: e7f8
19: d1c2
20: c8f5
21: c2f5
22: g7g6
23: f5f3
24: c7c6
25: e2f4
26: b8d7
27: f3d1
28: g6g5
29: f4d5
30: f6d5
31: c3d5
32: c6d5
33: h2h4
34: d7f6
35: h4g5
36: f6e4
37: d1h5
38: d8a5
39: e1f1
40: a5a6
41: f1g1
42: a6g6
43: h5g6
44: h7g6
45: g1f1
46: f8e7
47: f1e2
48: e7g5
49: c1d2
50: a8c8
51: a1c1
52: c8c1
53: h1c1
54: g8g7
55: f2f4
56: g5d8
57: e2d3
58: d8b6
59: g3g4
60: f7f6
61: a3a4
62: a7a5
63: d2e1
64: g6g5
65: f4f5
66: e8e7
67: b2b4
68: b6c7
69: b4a5
70: c7d6
71: c1c2
72: g7g8
73: c2c8
74: g8h7
75: c8d8
76: h7g7
77: g2f3
78: g7h6
79: f3g2
80: h6g7
81: g2f3
82: g7h6
83: f3g2
