Result: Black wins by checkmate

1: d2d4
2: g8f6
3: c2c4
4: g7g6
5: b1c3
6: f8g7
7: e2e4
8: d7d6
9: g1f3
10: e8g8
11: f1e2
12: e7e5
13: e1g1
14: b8c6
15: d4d5
16: c6e7
17: b2b4
18: f6h5
19: f1e1
20: f7f5
21: f3g5
22: h5f6
23: f2f3
24: g8h8
25: c1e3
26: g7h6
27: g5e6
28: h6e3
29: g1h1
30: c8e6
31: d5e6
32: a7a5
33: a1b1
34: f5e4
35: b4a5
36: a8a5
37: e1f1
38: d8c8
39: c3d5
40: f6d5
41: d1b3
42: d5f4
43: a2a4
44: e3b6
45: c4c5
46: b6c5
47: g2g3
48: f4e2
49: f3e4
50: f8f1
51: b1f1
52: e2d4
53: b3b1
54: a5a4
55: b1d1
56: a4a3
57: d1d2
58: c8e6
59: d2d1
60: a3a2
61: g3g4
62: h8g7
63: f1e1
64: d4c2
65: e1f1
66: c2e3
67: d1e1
68: e3f1
69: e1h4
70: e6f7
71: h4h6
72: g7h6
73: g4g5
74: h6h5
75: h2h3
76: a2h2
