Result: Black wins by checkmate

1: e2e4
2: e7e5
3: g1f3
4: b8c6
5: f1b5
6: a7a6
7: b5a4
8: g8f6
9: e1g1
10: f8e7
11: f1e1
12: b7b5
13: a4b3
14: d7d6
15: c2c3
16: e8g8
17: h2h3
18: c6a5
19: b3c2
20: c7c5
21: d2d4
22: d8c7
23: b1d2
24: a5c6
25: d4c5
26: d6c5
27: d2f1
28: c8e6
29: f1e3
30: a8d8
31: d1e2
32: c5c4
33: f3g5
34: c6d4
35: c3d4
36: e5d4
37: e3f5
38: e6f5
39: e4f5
40: e7b4
41: c1d2
42: d4d3
43: d2b4
44: d3e2
45: e1e2
46: f8e8
47: a1e1
48: e8e2
49: e1e2
50: c7f4
51: g5f7
52: d8e8
53: b4d2
54: e8e2
55: d2f4
56: g8f7
57: g1f1
58: e2c2
59: f4e5
60: f6e4
61: f2f3
62: e4f2
63: e5d4
64: f2d1
65: b2b3
66: c4c3
67: d4c5
68: c2a2
69: f1e1
70: c3c2
71: e1d2
72: d1c3
73: c5e3
74: c3e2
75: d2d3
76: c2c1q
77: e3c1
78: e2c1
79: d3c3
80: a2g2
81: b3b4
82: f7f6
83: h3h4
84: f6f5
85: h4h5
86: c1e2
87: c3d3
88: h7h6
89: d3e3
90: g2h2
91: e3d3
92: e2f4
93: d3d4
94: h2c2
95: d4e3
96: a6a5
97: e3d4
98: a5b4
99: d4e3
100: b4b3
101: e3d4
102: b3b2
103: d4e3
104: b2b1q
105: e3d4
106: b1g1
