Result: Draw by threefold repetition

1: e2e4
2: c7c5
3: g1f3
4: d7d6
5: d2d4
6: c5d4
7: f3d4
8: g8f6
9: b1c3
10: a7a6
11: c1e3
12: e7e6
13: f1e2
14: d8c7
15: a2a4
16: b7b6
17: f2f4
18: c8b7
19: e2f3
20: b8d7
21: d1e2
22: f8e7
23: e1g1
24: e8g8
25: g2g4
26: d7c5
27: e2g2
28: d6d5
29: e4e5
30: f6e4
31: c3e4
32: c5e4
33: c2c3
34: f8e8
35: a1c1
36: a8c8
37: g2h3
38: c7c4
39: a4a5
40: b6b5
41: c1c2
42: c4a4
43: f3e4
44: d5e4
45: g4g5
46: b7d5
47: f4f5
48: e6f5
49: b2b3
50: d5b3
51: h3g3
52: b3c2
53: d4f5
54: c2d3
55: f5h6
56: g8h8
57: h6f7
58: h8g8
59: f7h6
60: g8h8
61: h6f7
62: h8g8
63: f7h6
64: g8h8
